,DECK_Open,DECK_High,DECK_Low,DECK_Close,DECK_Adj Close,DECK_Volume,DECK_Dividend Amount,DECK_Split Coefficient
2018-08-21,119.41,120.13,118.14,118.75,19.7916666666667,468386,0.0,1.0
2018-08-20,119.43,120.53,117.93,119.29,19.8816666666667,407850,0.0,1.0
2018-08-17,118.34,119.99,117.67,119.54,19.9233333333333,440802,0.0,1.0
2018-08-16,119.64,119.64,117.04,118.6,19.7666666666667,497758,0.0,1.0
2018-08-15,119.41,119.77,116.23,118.64,19.7733333333333,517020,0.0,1.0
2018-08-14,119.78,121.5,119.47,120.16,20.0266666666667,496924,0.0,1.0
2018-08-13,121.93,122.39,119.24,119.45,19.9083333333333,443129,0.0,1.0
2018-08-10,120.2,122.53,119.63,121.41,20.235,504149,0.0,1.0
2018-08-09,119.14,122.27,118.58,121.28,20.2133333333333,527911,0.0,1.0
2018-08-08,117.08,119.51,116.46,119.21,19.8683333333333,406995,0.0,1.0
2018-08-07,116.16,117.74,115.31,116.87,19.4783333333333,426485,0.0,1.0
2018-08-06,115.19,116.41,114.29,115.79,19.2983333333333,472522,0.0,1.0
2018-08-03,118.45,119.18,114.76,115.17,19.195,603804,0.0,1.0
2018-08-02,112.25,117.6,112.25,117.12,19.52,528660,0.0,1.0
2018-08-01,112.8,115.34,110.56,112.81,18.8016666666667,929851,0.0,1.0
2018-07-31,111.65,113.75,111.59,112.83,18.805,544793,0.0,1.0
2018-07-30,111.33,111.34,109.34,110.78,18.4633333333333,874164,0.0,1.0
2018-07-27,112.2,114.98,105.13,111.03,18.505,2033144,0.0,1.0
2018-07-26,118.44,120.61,118.33,119.23,19.8716666666667,896397,0.0,1.0
2018-07-25,114.44,118.78,113.49,118.6,19.7666666666667,557405,0.0,1.0
2018-07-24,117.4,117.95,113.67,114.61,19.1016666666667,731887,0.0,1.0
2018-07-23,117.81,118.3,116.57,117.02,19.5033333333333,472803,0.0,1.0
2018-07-20,117.88,119.11,116.65,117.6,19.6,460104,0.0,1.0
2018-07-19,116.44,119.9,116.44,118.87,19.8116666666667,725661,0.0,1.0
2018-07-18,115.37,116.61,113.86,116.35,19.3916666666667,506781,0.0,1.0
2018-07-17,112.81,115.92,112.56,115.4,19.2333333333333,411591,0.0,1.0
2018-07-16,111.92,113.02,110.35,112.65,18.775,599618,0.0,1.0
2018-07-13,111.72,112.49,110.52,111.91,18.6516666666667,500064,0.0,1.0
2018-07-12,112.56,113.01,111.52,111.96,18.66,536373,0.0,1.0
2018-07-11,113.96,114.37,112.29,112.36,18.7266666666667,309009,0.0,1.0
2018-07-10,114.11,114.96,111.54,114.31,19.0516666666667,660589,0.0,1.0
2018-07-09,114.61,115.67,112.34,114.28,19.0466666666667,618306,0.0,1.0
2018-07-06,114.35,115.99,113.66,113.83,18.9716666666667,634117,0.0,1.0
2018-07-05,115.88,115.88,113.53,114.76,19.1266666666667,490121,0.0,1.0
2018-07-03,115.05,116.21,114.83,115.44,19.24,262754,0.0,1.0
2018-07-02,112.87,114.71,112.69,114.53,19.0883333333333,833042,0.0,1.0
2018-06-29,117.04,117.5,112.89,112.89,18.815,578523,0.0,1.0
2018-06-28,114.78,116.33,114.49,116.01,19.335,380487,0.0,1.0
2018-06-27,118.46,119.37,115.3,115.42,19.2366666666667,530641,0.0,1.0
2018-06-26,116.55,119.38,116.19,118.67,19.7783333333333,882057,0.0,1.0
2018-06-25,119.15,119.15,115.59,116.06,19.3433333333333,777817,0.0,1.0
2018-06-22,122.35,122.6,118.98,119.17,19.8616666666667,1165602,0.0,1.0
2018-06-21,121.57,122.98,120.5,121.94,20.3233333333333,403203,0.0,1.0
2018-06-20,120.38,121.82,119.08,121.61,20.2683333333333,352278,0.0,1.0
2018-06-19,119.4,120.57,117.27,120.45,20.075,527314,0.0,1.0
2018-06-18,118.46,120.94,118.46,120.21,20.035,463545,0.0,1.0
2018-06-15,118.49,120.51,118.32,118.81,19.8016666666667,829330,0.0,1.0
2018-06-14,119.55,120.03,118.34,119.1,19.85,490555,0.0,1.0
2018-06-13,120.64,121.1,119.14,119.33,19.8883333333333,820900,0.0,1.0
2018-06-12,121.17,122.21,120.59,120.8,20.1333333333333,562077,0.0,1.0
2018-06-11,121.69,122.0,120.29,121.25,20.2083333333333,442704,0.0,1.0
2018-06-08,119.06,122.05,119.0,121.65,20.275,591885,0.0,1.0
2018-06-07,120.08,121.4,119.1,119.26,19.8766666666667,778537,0.0,1.0
2018-06-06,119.37,120.57,118.62,119.85,19.975,535282,0.0,1.0
2018-06-05,117.42,120.13,116.69,119.28,19.88,891015,0.0,1.0
2018-06-04,115.92,117.77,115.45,117.66,19.61,646071,0.0,1.0
2018-06-01,113.64,116.44,113.64,115.11,19.185,891676,0.0,1.0
2018-05-31,110.45,113.5,110.45,113.16,18.86,1133945,0.0,1.0
2018-05-30,107.56,110.16,107.25,110.0,18.3333333333333,935286,0.0,1.0
2018-05-29,106.55,110.64,106.27,107.45,17.9083333333333,1657840,0.0,1.0
2018-05-25,108.02,109.34,104.86,107.34,17.89,1521290,0.0,1.0
2018-05-24,102.73,104.0,101.62,103.67,17.2783333333333,902415,0.0,1.0
2018-05-23,102.39,103.82,102.24,102.84,17.14,1022849,0.0,1.0
2018-05-22,104.6,105.04,102.01,102.29,17.0483333333333,659688,0.0,1.0
2018-05-21,104.25,105.13,102.99,104.64,17.44,1092537,0.0,1.0
2018-05-18,100.5,103.21,100.47,101.49,16.915,989825,0.0,1.0
2018-05-17,99.26,100.77,98.21,100.55,16.7583333333333,446752,0.0,1.0
2018-05-16,99.6,101.75,98.78,99.24,16.54,732134,0.0,1.0
2018-05-15,98.89,99.83,98.11,99.11,16.5183333333333,526270,0.0,1.0
2018-05-14,98.05,99.46,97.78,98.94,16.49,661094,0.0,1.0
2018-05-11,97.6,98.53,97.0,97.65,16.275,326268,0.0,1.0
2018-05-10,97.54,98.42,96.06,97.6,16.2666666666667,495642,0.0,1.0
2018-05-09,96.55,97.93,95.88,97.62,16.27,584073,0.0,1.0
2018-05-08,94.77,96.62,94.2,96.19,16.0316666666667,407088,0.0,1.0
2018-05-07,93.51,94.87,92.76,94.76,15.7933333333333,544114,0.0,1.0
2018-05-04,92.26,94.26,91.39,93.34,15.5566666666667,525318,0.0,1.0
2018-05-03,92.99,93.77,91.7,92.25,15.375,317311,0.0,1.0
2018-05-02,93.67,94.23,92.09,93.48,15.58,453939,0.0,1.0
2018-05-01,92.81,94.38,91.95,94.09,15.6816666666667,578088,0.0,1.0
2018-04-30,93.14,94.74,93.14,93.26,15.5433333333333,392184,0.0,1.0
2018-04-27,92.53,94.21,92.09,92.98,15.4966666666667,353567,0.0,1.0
2018-04-26,91.65,92.68,90.43,92.06,15.3433333333333,267310,0.0,1.0
2018-04-25,90.6,92.13,89.66,91.51,15.2516666666667,340071,0.0,1.0
2018-04-24,90.73,91.81,90.05,90.82,15.1366666666667,396810,0.0,1.0
2018-04-23,89.52,91.24,89.25,89.8,14.9666666666667,649911,0.0,1.0
2018-04-20,90.55,91.96,88.87,89.0,14.8333333333333,686323,0.0,1.0
2018-04-19,93.87,93.97,91.58,92.23,15.3716666666667,640270,0.0,1.0
2018-04-18,94.82,95.82,93.85,93.99,15.665,755866,0.0,1.0
2018-04-17,95.73,96.07,93.97,94.67,15.7783333333333,407590,0.0,1.0
2018-04-16,95.15,95.94,94.58,94.95,15.825,613312,0.0,1.0
2018-04-13,96.49,96.7,94.33,94.96,15.8266666666667,482173,0.0,1.0
2018-04-12,95.57,96.54,95.27,96.02,16.0033333333333,476254,0.0,1.0
