,CA_Open,CA_High,CA_Low,CA_Close,CA_Adj Close,CA_Volume,CA_Dividend Amount,CA_Split Coefficient
2024-03-26,25.23,25.23,25.2,25.2,24.691422347144,101,0.0,1.0
2024-03-25,25.61,25.61,25.23,25.23,24.7208168975573,911,0.0,1.0
2024-03-22,25.3,25.3,25.27,25.27,24.7600096314416,100,0.0,1.0
2024-03-21,25.24,25.24,25.24,25.24,24.7306150810283,9,0.0,1.0
2024-03-20,25.28,26.77,25.25,25.25,24.7404132644994,6720,0.0,1.0
2024-03-19,25.31,25.31,25.28,25.28,24.7698078149127,342,0.0,1.0
2024-03-18,25.29,25.29,25.27,25.27,24.7600096314416,227,0.0,1.0
2024-03-15,25.24,25.2679,25.24,25.2679,24.7579520129127,1006,0.0,1.0
2024-03-14,25.28,25.28,25.28,25.28,24.7698078149127,16,0.0,1.0
2024-03-13,25.36,25.36,25.3388,25.3388,24.8274211337227,305,0.0,1.0
2024-03-12,25.33,25.33,25.33,25.33,24.8187987322681,1,0.0,1.0
2024-03-11,25.35,25.35,25.35,25.35,24.8383950992103,1,0.0,1.0
2024-03-08,25.35,25.35,25.35,25.35,24.8383950992103,53,0.0,1.0
2024-03-07,25.33,25.33,25.33,25.33,24.8187987322681,1,0.0,1.0
2024-03-06,25.33,25.33,25.3069,25.3069,24.7961649284499,191,0.0,1.0
2024-03-05,25.31,25.31,25.3,25.3,24.7894041818549,361,0.0,1.0
2024-03-04,25.15,25.2751,25.15,25.2751,24.7650067050119,672,0.0,1.0
2024-03-01,25.31,25.31,25.28,25.28,24.7698078149127,419,0.0611,1.0
2024-02-29,25.34,25.34,25.31,25.31,24.7393991737315,103,0.0,1.0
2024-02-28,25.2801,25.34,25.2801,25.31,24.7393991737315,1015,0.0,1.0
2024-02-27,25.26,25.26,25.245,25.245,24.6758645650278,220,0.0,1.0
2024-02-26,25.32,25.33,25.3,25.3,24.7296246185464,406,0.0,1.0
2024-02-23,25.3,25.3,25.3,25.3,24.7296246185464,38,0.0,1.0
2024-02-22,25.26,25.26,25.26,25.26,24.6905263978056,2,0.0,1.0
2024-02-21,25.27,25.27,25.27,25.27,24.7003009529908,30,0.0,1.0
2024-02-20,25.28,25.28,25.27,25.27,24.7003009529908,102,0.0,1.0
2024-02-16,25.23,25.26,25.23,25.24,24.6709772874352,2215,0.0,1.0
2024-02-15,25.26,25.26,25.26,25.26,24.6905263978056,10,0.0,1.0
2024-02-14,25.24,25.24,25.24,25.24,24.6709772874352,3100,0.0,1.0
2024-02-13,25.1999,25.1999,25.17,25.17,24.6025554011388,3100,0.0,1.0
2024-02-12,25.3,25.3,25.3,25.3,24.7296246185464,1,0.0,1.0
2024-02-09,25.245,25.245,25.245,25.245,24.6758645650278,44,0.0,1.0
2024-02-08,25.25,25.25,25.25,25.25,24.6807518426204,101,0.0,1.0
2024-02-07,25.25,25.25,25.25,25.25,24.6807518426204,101,0.0,1.0
2024-02-06,25.26,25.26,25.26,25.26,24.6905263978056,2,0.0,1.0
