,EXP_Open,EXP_High,EXP_Low,EXP_Close,EXP_Adj Close,EXP_Volume,EXP_Dividend Amount,EXP_Split Coefficient
2001-05-18,28.3,29.08,28.3,29.08,7.00760463093582,17700,0.0,1.0
2001-05-17,27.73,28.23,27.73,28.15,6.78349622974014,9100,0.0,1.0
2001-05-16,28.25,28.25,27.51,27.72,6.67987621628408,12200,0.0,1.0
2001-05-15,26.95,28.0,26.95,28.0,6.74734971341826,40200,0.0,1.0
2001-05-14,26.59,26.95,26.59,26.95,6.49432409916507,6500,0.0,1.0
2001-05-11,27.0,27.05,26.45,26.6,6.40998222774735,9900,0.0,1.0
2001-05-10,27.65,27.68,26.7,26.97,6.49914363467466,23800,0.0,1.0
2001-05-09,28.01,28.01,27.7,27.8,6.69915435832241,6800,0.0,1.0
2001-05-08,28.85,28.85,28.0,28.0,6.74734971341826,11300,0.0,1.0
2001-05-07,28.2,28.7,28.1,28.7,6.91603345625372,13100,0.0,1.0
2001-05-04,28.25,28.31,28.25,28.31,6.82205251381682,3200,0.0,1.0
2001-05-03,28.6,28.6,28.28,28.28,6.81482321055244,7300,0.0,1.0
2001-05-02,28.53,28.6,28.5,28.6,6.89193577870579,15300,0.0,1.0
2001-05-01,28.57,28.6,28.48,28.53,6.87506740442225,46200,0.0,1.0
2001-04-30,28.67,28.67,28.18,28.57,6.88470647544142,35000,0.0,1.0
2001-04-27,28.85,28.9,28.36,28.42,6.84855995911953,23500,0.0,1.0
2001-04-26,28.46,28.74,28.46,28.74,6.92567252727288,42700,0.0,1.0
2001-04-25,28.71,29.0,28.25,28.36,6.83410135259078,22800,0.0,1.0
2001-04-24,27.5,28.71,27.25,28.71,6.91844322400851,32100,0.0,1.0
2001-04-23,27.3,27.56,25.7,27.55,6.63891016445261,95500,0.0,1.0
2001-04-20,28.75,28.75,28.15,28.15,6.78349622974014,2300,0.0,1.0
2001-04-19,28.44,29.06,28.44,28.75,6.92808229502768,12800,0.0,1.0
2001-04-18,27.95,28.7,27.95,28.44,6.85337949462912,23700,0.0,1.0
2001-04-17,27.78,28.09,27.78,27.96,6.73771064239909,8300,0.0,1.0
2001-04-16,27.25,27.83,27.25,27.77,6.69192505505804,18300,0.0,1.0
2001-04-12,27.99,28.12,27.75,27.99,6.74493994566347,24400,0.0,1.0
