,MDXG_Open,MDXG_High,MDXG_Low,MDXG_Close,MDXG_Adj Close,MDXG_Volume,MDXG_Dividend Amount,MDXG_Split Coefficient
2011-01-07,1.4,1.4,1.39,1.39,1.39,28400,0.0,1.0
2011-01-06,1.35,1.36,1.26,1.35,1.35,42200,0.0,1.0
2011-01-05,1.35,1.36,1.35,1.35,1.35,8600,0.0,1.0
2011-01-04,1.35,1.38,1.25,1.35,1.35,14200,0.0,1.0
2011-01-03,1.35,1.4,1.14,1.35,1.35,51200,0.0,1.0
2010-12-31,1.32,1.35,1.27,1.35,1.35,6300,0.0,1.0
2010-12-30,1.32,1.32,1.32,1.32,1.32,1200,0.0,1.0
2010-12-29,1.39,1.39,1.25,1.29,1.29,44100,0.0,1.0
2010-12-28,1.4,1.41,1.31,1.35,1.35,42600,0.0,1.0
2010-12-27,1.15,1.48,1.15,1.25,1.25,42300,0.0,1.0
2010-12-23,1.09,1.15,1.08,1.15,1.15,19800,0.0,1.0
2010-12-22,0.98,1.1,0.98,1.1,1.1,68700,0.0,1.0
2010-12-21,0.98,0.98,0.95,0.95,0.95,4700,0.0,1.0
2010-12-20,0.98,0.98,0.88,0.98,0.98,12100,0.0,1.0
2010-12-17,0.88,0.98,0.88,0.98,0.98,14300,0.0,1.0
2010-12-16,0.95,0.95,0.95,0.95,0.95,0,0.0,1.0
2010-12-15,0.95,0.95,0.95,0.95,0.95,11800,0.0,1.0
2010-12-14,0.95,0.95,0.95,0.95,0.95,500,0.0,1.0
2010-12-13,0.93,1.0,0.93,0.93,0.93,22600,0.0,1.0
2010-12-10,1.0,1.0,0.8,1.0,1.0,36300,0.0,1.0
2010-12-09,0.85,1.0,0.85,1.0,1.0,102100,0.0,1.0
2010-12-08,0.87,0.87,0.8,0.8,0.8,9000,0.0,1.0
2010-12-07,0.82,0.97,0.771,0.87,0.87,45200,0.0,1.0
2010-12-06,0.97,0.98,0.87,0.9,0.9,50300,0.0,1.0
2010-12-03,0.85,0.97,0.85,0.97,0.97,12100,0.0,1.0
2010-12-02,0.96,0.97,0.77,0.91,0.91,42000,0.0,1.0
2010-12-01,0.99,0.99,0.97,0.97,0.97,55000,0.0,1.0
2010-11-30,0.96,0.99,0.96,0.99,0.99,22300,0.0,1.0
2010-11-29,1.0,1.0,0.96,0.98,0.98,37700,0.0,1.0
2010-11-26,0.98,0.98,0.98,0.98,0.98,0,0.0,1.0
2010-11-24,0.96,0.98,0.96,0.98,0.98,5000,0.0,1.0
2010-11-23,0.98,0.98,0.98,0.98,0.98,8500,0.0,1.0
2010-11-22,0.97,1.0,0.96,1.0,1.0,7300,0.0,1.0
2010-11-19,0.97,1.0,0.97,1.0,1.0,4400,0.0,1.0
2010-11-18,0.96,1.0,0.96,1.0,1.0,49500,0.0,1.0
2010-11-17,1.01,1.01,0.98,0.99,0.99,28400,0.0,1.0
2010-11-16,1.04,1.04,0.98,1.01,1.01,4000,0.0,1.0
2010-11-15,1.01,1.04,1.01,1.01,1.01,28500,0.0,1.0
2010-11-12,1.0,1.04,1.0,1.01,1.01,51200,0.0,1.0
2010-11-11,1.05,1.06,0.98,0.99,0.99,41600,0.0,1.0
2010-11-10,1.02,1.03,1.02,1.03,1.03,3500,0.0,1.0
2010-11-09,0.98,1.01,0.97,1.01,1.01,8000,0.0,1.0
2010-11-08,1.0,1.03,0.99,1.01,1.01,76400,0.0,1.0
2010-11-05,1.0,1.0,0.985,0.99,0.99,29700,0.0,1.0
2010-11-04,1.0,1.02,0.99,0.99,0.99,24000,0.0,1.0
2010-11-03,0.94,1.07,0.94,1.0,1.0,144100,0.0,1.0
2010-11-02,0.99,1.1,0.98,1.0,1.0,125900,0.0,1.0
2010-11-01,0.99,0.99,0.99,0.99,0.99,600,0.0,1.0
2010-10-29,1.0,1.0,0.98,1.0,1.0,13000,0.0,1.0
