,EQIX_Open,EQIX_High,EQIX_Low,EQIX_Close,EQIX_Adj Close,EQIX_Volume,EQIX_Dividend Amount,EQIX_Split Coefficient
2018-04-13,402.04,404.9,399.92,401.45,355.841464462426,345843,0.0,1.0
2018-04-12,410.26,410.6,400.74,401.2,355.619866838524,358743,0.0,1.0
2018-04-11,403.24,411.87,401.66,408.98,362.515984894365,465630,0.0,1.0
2018-04-10,412.34,415.18,402.67,405.59,359.511121114249,607414,0.0,1.0
2018-04-09,410.09,417.88,408.05,409.57,363.038955286775,535653,0.0,1.0
2018-04-06,411.85,416.23,404.44,407.04,360.796387332883,518876,0.0,1.0
2018-04-05,412.61,414.61,409.01,413.59,366.602245079125,386004,0.0,1.0
2018-04-04,406.19,413.18,404.18,411.99,365.18402028615,497914,0.0,1.0
2018-04-03,409.11,412.43,404.98,408.6,362.179156506034,467491,0.0,1.0
2018-04-02,419.12,419.81,403.7,408.55,362.134836981253,627355,0.0,1.0
2018-03-29,420.09,421.59,414.8,418.14,370.635321834148,628824,0.0,1.0
2018-03-28,411.4,418.44,410.95,417.02,369.642564479066,590493,0.0,1.0
2018-03-27,410.76,417.25,404.0,409.88,363.313736340414,505943,0.0,1.0
2018-03-26,405.84,410.27,404.37,409.61,363.074410906599,447177,0.0,1.0
2018-03-23,417.74,419.11,401.0,401.68,356.045334276416,829950,0.0,1.0
2018-03-22,410.86,420.85,407.82,417.58,370.138943156607,1023078,0.0,1.0
2018-03-21,415.74,415.98,407.69,411.84,365.051061711808,559147,0.0,1.0
2018-03-20,411.32,415.96,411.32,415.26,368.082517206793,419422,0.0,1.0
2018-03-19,415.34,418.17,409.12,411.71,364.935830947379,942956,0.0,1.0
2018-03-16,417.33,421.0,413.75,419.89,372.186505201465,1056853,0.0,1.0
2018-03-15,412.58,415.68,410.72,415.23,368.055925491925,706788,0.0,1.0
2018-03-14,404.9,416.44,404.15,413.71,366.708611938598,908594,0.0,1.0
