,SPSC_Open,SPSC_High,SPSC_Low,SPSC_Close,SPSC_Adj Close,SPSC_Volume,SPSC_Dividend Amount,SPSC_Split Coefficient
2016-11-21,66.64,67.41,65.84,66.23,33.115,163775,0.0,1.0
2016-11-18,66.97,67.34,66.28,66.43,33.215,98222,0.0,1.0
2016-11-17,67.33,68.33,66.83,66.93,33.465,132486,0.0,1.0
2016-11-16,65.46,67.43,65.3559,67.24,33.62,84676,0.0,1.0
2016-11-15,65.36,66.3,65.26,65.47,32.735,92007,0.0,1.0
2016-11-14,66.18,67.07,64.66,65.15,32.575,85997,0.0,1.0
2016-11-11,62.9,65.94,62.31,65.77,32.885,128824,0.0,1.0
2016-11-10,64.91,64.95,62.56,63.05,31.525,151104,0.0,1.0
2016-11-09,63.17,64.8,62.08,64.47,32.235,92377,0.0,1.0
2016-11-08,63.61,64.24,63.06,63.87,31.935,87767,0.0,1.0
2016-11-07,64.0,64.0,63.21,63.59,31.795,120148,0.0,1.0
2016-11-04,62.05,63.11,61.69,62.99,31.495,125404,0.0,1.0
2016-11-03,62.32,62.41,61.48,61.96,30.98,87267,0.0,1.0
2016-11-02,62.66,62.66,61.4,62.14,31.07,196818,0.0,1.0
2016-11-01,62.39,62.76,61.79,62.49,31.245,131925,0.0,1.0
2016-10-31,62.88,62.88,61.6,62.38,31.19,172135,0.0,1.0
2016-10-28,65.55,65.55,62.53,62.87,31.435,399602,0.0,1.0
2016-10-27,69.7,69.86,67.18,67.76,33.88,140042,0.0,1.0
2016-10-26,69.11,70.05,69.11,69.61,34.805,95411,0.0,1.0
2016-10-25,70.67,70.67,68.88,69.63,34.815,74669,0.0,1.0
2016-10-24,69.73,71.16,68.65,70.78,35.39,90170,0.0,1.0
2016-10-21,68.32,69.57,67.1604,69.52,34.76,59841,0.0,1.0
2016-10-20,70.24,70.43,68.29,68.59,34.295,92349,0.0,1.0
2016-10-19,70.33,70.71,69.59,69.91,34.955,145709,0.0,1.0
2016-10-18,71.12,71.42,69.65,69.99,34.995,137471,0.0,1.0
2016-10-17,69.99,70.8,68.89,70.15,35.075,98479,0.0,1.0
2016-10-14,70.14,71.34,69.23,69.85,34.925,90392,0.0,1.0
2016-10-13,69.63,70.43,68.73,70.06,35.03,224255,0.0,1.0
2016-10-12,70.45,70.78,69.83,70.26,35.13,48751,0.0,1.0
2016-10-11,72.19,72.905,70.36,70.44,35.22,59449,0.0,1.0
2016-10-10,71.69,72.95,71.4102,72.59,36.295,92771,0.0,1.0
2016-10-07,71.62,72.19,70.65,71.34,35.67,89544,0.0,1.0
2016-10-06,72.43,72.77,71.34,71.63,35.815,99882,0.0,1.0
2016-10-05,72.47,72.9,72.09,72.45,36.225,121034,0.0,1.0
2016-10-04,73.24,73.24,71.75,72.56,36.28,120559,0.0,1.0
2016-10-03,73.48,73.915,72.36,72.89,36.445,199762,0.0,1.0
2016-09-30,74.49,74.6,73.35,73.41,36.705,176141,0.0,1.0
2016-09-29,73.72,74.345,73.539,73.65,36.825,107693,0.0,1.0
2016-09-28,73.24,74.3,72.62,74.12,37.06,130079,0.0,1.0
2016-09-27,73.56,74.16,72.61,73.01,36.505,264494,0.0,1.0
2016-09-26,72.53,74.01,72.06,72.84,36.42,194641,0.0,1.0
