,MSTR_Open,MSTR_High,MSTR_Low,MSTR_Close,MSTR_Adj Close,MSTR_Volume,MSTR_Dividend Amount,MSTR_Split Coefficient
2018-05-11,130.46,130.73,128.75,129.28,12.928,52201,0.0,1.0
2018-05-10,131.11,132.35,129.44,130.18,13.018,76570,0.0,1.0
2018-05-09,131.23,131.49,129.42,130.6,13.06,30983,0.0,1.0
2018-05-08,130.0,131.46,128.62,131.04,13.104,83668,0.0,1.0
2018-05-07,130.41,131.68,129.37,129.93,12.993,46625,0.0,1.0
2018-05-04,128.7,130.94,128.7,130.2,13.02,70565,0.0,1.0
2018-05-03,130.07,132.8,126.96,129.12,12.912,73454,0.0,1.0
2018-05-02,130.84,134.09,128.58,130.31,13.031,92153,0.0,1.0
2018-05-01,127.28,131.24,126.2,130.82,13.082,134541,0.0,1.0
2018-04-30,126.77,130.45,125.84,127.46,12.746,126740,0.0,1.0
2018-04-27,125.0,129.81,123.62,126.69,12.669,138090,0.0,1.0
2018-04-26,132.02,134.07,130.02,132.29,13.229,39882,0.0,1.0
2018-04-25,130.66,132.3,129.0,131.58,13.158,53676,0.0,1.0
2018-04-24,132.14,132.82,128.73,130.34,13.034,87993,0.0,1.0
2018-04-23,132.38,133.44,130.33,131.52,13.152,29669,0.0,1.0
2018-04-20,133.68,133.68,130.88,131.55,13.155,42388,0.0,1.0
2018-04-19,134.54,135.65,133.04,134.24,13.424,38442,0.0,1.0
2018-04-18,134.71,136.24,133.86,134.82,13.482,51356,0.0,1.0
2018-04-17,132.7,135.1,132.7,134.63,13.463,147947,0.0,1.0
2018-04-16,130.74,132.9,127.98,132.36,13.236,85232,0.0,1.0
2018-04-13,130.18,130.9,127.75,130.18,13.018,108953,0.0,1.0
2018-04-12,129.14,130.83,127.34,129.52,12.952,111985,0.0,1.0
2018-04-11,129.85,129.99,127.0,128.7,12.87,86061,0.0,1.0
2018-04-10,126.71,128.71,125.34,127.51,12.751,104519,0.0,1.0
2018-04-09,126.57,127.94,125.32,125.44,12.544,62662,0.0,1.0
2018-04-06,126.95,128.13,124.6,125.87,12.587,76318,0.0,1.0
2018-04-05,127.7,128.64,126.74,127.58,12.758,111150,0.0,1.0
2018-04-04,124.0,127.24,123.0,126.8,12.68,133409,0.0,1.0
2018-04-03,126.26,128.97,125.04,126.82,12.682,59905,0.0,1.0
2018-04-02,128.71,132.41,124.79,125.54,12.554,115291,0.0,1.0
2018-03-29,128.19,131.37,127.34,128.99,12.899,143993,0.0,1.0
2018-03-28,128.22,129.11,125.95,127.7,12.77,89467,0.0,1.0
2018-03-27,131.25,133.15,126.76,128.42,12.842,90843,0.0,1.0
2018-03-26,130.83,131.22,128.48,130.7,13.07,61318,0.0,1.0
2018-03-23,129.5,130.77,127.75,129.77,12.977,140505,0.0,1.0
2018-03-22,129.73,132.72,128.36,130.86,13.086,142833,0.0,1.0
2018-03-21,131.59,132.73,128.25,130.73,13.073,37187,0.0,1.0
2018-03-20,130.94,131.99,129.75,130.71,13.071,56281,0.0,1.0
2018-03-19,131.54,131.54,128.22,130.85,13.085,56151,0.0,1.0
2018-03-16,132.8,133.07,131.03,131.76,13.176,108531,0.0,1.0
2018-03-15,133.6,136.36,131.85,133.37,13.337,96906,0.0,1.0
2018-03-14,135.29,135.29,133.25,133.43,13.343,46917,0.0,1.0
2018-03-13,136.7,136.7,134.14,135.04,13.504,106962,0.0,1.0
2018-03-12,136.58,136.58,133.6,136.07,13.607,79265,0.0,1.0
2018-03-09,135.34,136.93,133.66,136.27,13.627,102825,0.0,1.0
2018-03-08,135.0,135.0,131.55,134.21,13.421,63577,0.0,1.0
2018-03-07,131.96,134.15,131.4,133.25,13.325,102088,0.0,1.0
2018-03-06,134.73,135.58,132.1,133.2,13.32,115050,0.0,1.0
2018-03-05,124.84,134.65,124.84,134.14,13.414,203427,0.0,1.0
2018-03-02,122.97,126.69,122.52,125.43,12.543,191157,0.0,1.0
2018-03-01,127.97,129.66,122.16,123.87,12.387,223505,0.0,1.0
2018-02-28,135.71,136.84,127.8,127.98,12.798,166447,0.0,1.0
2018-02-27,137.72,138.56,134.56,135.16,13.516,85598,0.0,1.0
2018-02-26,138.19,138.54,136.82,137.69,13.769,61222,0.0,1.0
2018-02-23,137.64,138.45,136.62,137.98,13.798,40438,0.0,1.0
2018-02-22,137.3,137.9999,136.0499,137.37,13.737,64678,0.0,1.0
2018-02-21,138.26,139.71,136.35,136.77,13.677,83289,0.0,1.0
2018-02-20,137.24,138.86,136.69,137.99,13.799,47283,0.0,1.0
2018-02-16,137.7,138.65,136.4,137.55,13.755,52340,0.0,1.0
2018-02-15,136.59,139.14,135.44,137.85,13.785,82469,0.0,1.0
2018-02-14,133.4,136.0,132.81,135.83,13.583,147214,0.0,1.0
2018-02-13,132.39,135.0,131.71,134.51,13.451,58990,0.0,1.0
2018-02-12,131.19,133.14,129.42,132.87,13.287,163458,0.0,1.0
2018-02-09,132.53,132.95,128.52,130.62,13.062,85520,0.0,1.0
2018-02-08,133.51,134.4,131.42,131.53,13.153,196799,0.0,1.0
2018-02-07,132.92,135.57,130.09,133.52,13.352,66566,0.0,1.0
2018-02-06,129.47,134.31,128.5,133.0,13.3,77393,0.0,1.0
2018-02-05,135.0,135.4,131.01,131.59,13.159,58890,0.0,1.0
2018-02-02,138.41,138.82,135.31,135.77,13.577,61038,0.0,1.0
2018-02-01,136.82,139.59,136.49,139.14,13.914,102979,0.0,1.0
2018-01-31,138.53,139.85,136.97,137.73,13.773,72368,0.0,1.0
2018-01-30,137.06,139.16,136.35,138.38,13.838,68237,0.0,1.0
2018-01-29,137.12,138.99,134.82,137.95,13.795,99756,0.0,1.0
2018-01-26,137.77,139.68,132.0,137.79,13.779,213453,0.0,1.0
