,PAY_Open,PAY_High,PAY_Low,PAY_Close,PAY_Adj Close,PAY_Volume,PAY_Dividend Amount,PAY_Split Coefficient
2023-09-27,16.42,16.78,16.3,16.35,16.35,106051,0.0,1.0
2023-09-26,16.53,17.24,16.045,16.16,16.16,100620,0.0,1.0
2023-09-25,15.55,16.5808,15.55,16.53,16.53,171943,0.0,1.0
2023-09-22,15.62,15.8901,15.47,15.65,15.65,62276,0.0,1.0
2023-09-21,15.64,15.88,15.31,15.55,15.55,64247,0.0,1.0
2023-09-20,16.02,16.2154,15.75,15.84,15.84,124997,0.0,1.0
2023-09-19,15.74,15.95,15.64,15.93,15.93,127011,0.0,1.0
2023-09-18,15.7,15.78,15.21,15.69,15.69,178137,0.0,1.0
2023-09-15,15.63,16.225,15.63,16.14,16.14,90784,0.0,1.0
2023-09-14,15.84,15.98,15.65,15.86,15.86,44268,0.0,1.0
2023-09-13,15.84,16.08,15.405,15.66,15.66,108946,0.0,1.0
2023-09-12,15.79,15.95,15.56,15.81,15.81,109128,0.0,1.0
2023-09-11,15.19,15.82,15.0473,15.82,15.82,86277,0.0,1.0
2023-09-08,15.02,15.12,14.6,14.8,14.8,71941,0.0,1.0
2023-09-07,15.84,15.88,15.045,15.1,15.1,61643,0.0,1.0
2023-09-06,15.83,16.13,15.605,15.96,15.96,85343,0.0,1.0
2023-09-05,15.26,15.882,15.02,15.8,15.8,126306,0.0,1.0
2023-09-01,15.19,15.35,14.8,15.34,15.34,96879,0.0,1.0
2023-08-31,14.99,15.06,14.74,15.06,15.06,136351,0.0,1.0
2023-08-30,14.79,15.0,14.735,14.96,14.96,151879,0.0,1.0
2023-08-29,14.46,14.92,14.08,14.79,14.79,156332,0.0,1.0
2023-08-28,13.91,14.58,13.64,14.46,14.46,106796,0.0,1.0
2023-08-25,13.7,14.17,13.32,13.83,13.83,74171,0.0,1.0
2023-08-24,14.03,14.04,13.41,13.68,13.68,56856,0.0,1.0
2023-08-23,14.06,14.2,13.765,14.07,14.07,61491,0.0,1.0
2023-08-22,13.88,14.3,13.58,14.1,14.1,46212,0.0,1.0
2023-08-21,13.83,13.95,13.16,13.69,13.69,53869,0.0,1.0
2023-08-18,13.36,14.0,13.36,13.98,13.98,33351,0.0,1.0
2023-08-17,13.29,13.83,13.09,13.54,13.54,71873,0.0,1.0
2023-08-16,13.61,14.0354,13.15,13.25,13.25,99967,0.0,1.0
2023-08-15,13.25,14.04,13.15,13.64,13.64,103245,0.0,1.0
2023-08-14,14.69,14.84,12.98,13.61,13.61,178216,0.0,1.0
2023-08-11,14.27,14.7116,13.9856,14.61,14.61,48238,0.0,1.0
2023-08-10,15.15,15.29,14.19,14.36,14.36,101119,0.0,1.0
2023-08-09,14.0,15.39,13.81,14.99,14.99,265811,0.0,1.0
2023-08-08,12.93,15.0499,12.75,14.04,14.04,887248,0.0,1.0
2023-08-07,11.06,11.1,10.5052,10.7,10.7,58926,0.0,1.0
2023-08-04,11.0801,11.17,10.85,11.02,11.02,40657,0.0,1.0
2023-08-03,10.69,11.1,10.4975,11.05,11.05,51838,0.0,1.0
2023-08-02,10.9,10.97,10.45,10.8,10.8,63381,0.0,1.0
2023-08-01,11.21,11.4,10.66,10.99,10.99,59615,0.0,1.0
2023-07-31,11.0,11.4,10.97,11.29,11.29,25248,0.0,1.0
2023-07-28,11.19,11.22,10.64,10.85,10.85,63066,0.0,1.0
2023-07-27,11.13,11.13,10.83,11.01,11.01,40208,0.0,1.0
2023-07-26,10.57,11.09,10.4006,10.99,10.99,67414,0.0,1.0
2023-07-25,10.69,10.71,10.23,10.59,10.59,51427,0.0,1.0
2023-07-24,10.8,10.88,10.51,10.63,10.63,11588,0.0,1.0
2023-07-21,11.02,11.02,10.6,10.77,10.77,16168,0.0,1.0
2023-07-20,10.91,11.09,10.84,10.93,10.93,25731,0.0,1.0
2023-07-19,10.9,11.42,10.71,10.92,10.92,23018,0.0,1.0
2023-07-18,10.78,10.95,10.72,10.84,10.84,13649,0.0,1.0
2023-07-17,10.77,11.01,10.52,10.76,10.76,23264,0.0,1.0
2023-07-14,10.85,10.85,10.63,10.79,10.79,46959,0.0,1.0
2023-07-13,10.22,10.85,10.18,10.75,10.75,53165,0.0,1.0
2023-07-12,10.16,10.21,9.95,10.12,10.12,29211,0.0,1.0
2023-07-11,10.0,10.18,9.86,9.92,9.92,23386,0.0,1.0
2023-07-10,9.95,10.22,9.89,9.95,9.95,19706,0.0,1.0
2023-07-07,9.7,10.09,9.7,9.93,9.93,21357,0.0,1.0
2023-07-06,9.78,9.9083,9.6,9.68,9.68,48982,0.0,1.0
2023-07-05,10.25,10.29,9.93,9.96,9.96,62392,0.0,1.0
2023-07-03,10.64,10.7268,10.4,10.42,10.42,16553,0.0,1.0
2023-06-30,10.43,10.68,10.3287,10.56,10.56,36177,0.0,1.0
2023-06-29,10.43,10.695,10.39,10.39,10.39,33119,0.0,1.0
2023-06-28,10.48,10.493,10.31,10.4,10.4,37418,0.0,1.0
2023-06-27,10.34,10.725,10.12,10.5,10.5,69468,0.0,1.0
2023-06-26,10.55,10.74,10.29,10.34,10.34,67112,0.0,1.0
2023-06-23,10.79,10.97,10.405,10.48,10.48,133375,0.0,1.0
2023-06-22,11.1,11.47,10.86,11.0,11.0,84010,0.0,1.0
2023-06-21,10.98,11.3697,10.91,11.24,11.24,130258,0.0,1.0
2023-06-20,10.49,11.24,10.49,11.19,11.19,154384,0.0,1.0
