,FTV_Open,FTV_High,FTV_Low,FTV_Close,FTV_Adj Close,FTV_Volume,FTV_Dividend Amount,FTV_Split Coefficient
2017-12-04,75.07,75.54,74.23,74.23,60.46444707901,1074180,0.0,1.0
2017-12-01,75.55,75.69,73.55,74.58,60.74954146777,1322311,0.0,1.0
2017-11-30,73.49,74.75,73.43,74.65,60.806560345522,1571015,0.0,1.0
2017-11-29,73.38,73.48,72.67,73.42,59.8046572078797,920035,0.0,1.0
2017-11-28,73.06,73.83,72.59,73.29,59.6987650063403,1292572,0.0,1.0
2017-11-27,72.33,73.035,72.215,72.76,59.2670506462181,958946,0.0,1.0
2017-11-24,72.07,72.4,72.06,72.13,58.7538807464501,362999,0.0,1.0
2017-11-22,72.38,72.53,71.756,72.0,58.6479885449107,1932814,0.07,1.0
2017-11-21,72.89,73.16,72.41,72.45,58.957218954888,1263633,0.0,1.0
2017-11-20,72.38,73.16,72.25,72.81,59.2501740801297,873289,0.0,1.0
2017-11-17,72.09,72.709,71.75,72.25,58.7944661075315,2936981,0.0,1.0
2017-11-16,72.19,72.93,72.03,72.44,58.9490813125202,982711,0.0,1.0
2017-11-15,72.59,72.71,71.67,71.85,58.4689604128185,1726029,0.0,1.0
2017-11-14,72.23,72.695,72.14,72.67,59.1362470869801,1224035,0.0,1.0
2017-11-13,72.26,72.7,72.05,72.6,59.0792835904054,833358,0.0,1.0
2017-11-10,72.28,72.795,71.9,72.65,59.1199718022445,1825247,0.0,1.0
2017-11-09,72.45,72.85,72.101,72.63,59.1036965175088,1015688,0.0,1.0
2017-11-08,73.21,73.25,72.68,72.77,59.2176235106584,1130286,0.0,1.0
2017-11-07,72.8,73.47,72.67,73.47,59.7872584764061,1072504,0.0,1.0
2017-11-06,73.5,73.59,72.76,72.86,59.2908622919688,831589,0.0,1.0
2017-11-03,73.3,73.98,73.3,73.64,59.9255983966591,1009840,0.0,1.0
2017-11-02,72.9,73.495,72.64,73.31,59.6570561985209,985089,0.0,1.0
2017-11-01,72.73,73.07,72.25,72.86,59.2908622919688,1221722,0.0,1.0
2017-10-31,72.61,72.77,72.215,72.26,58.8026037498993,1229289,0.0,1.0
2017-10-30,73.75,73.89,72.38,72.46,58.9653565972558,1583424,0.0,1.0
2017-10-27,72.2,74.35,71.5,74.1,60.299929945579,450533,0.0,1.0
2017-10-26,73.1,73.76,72.57,73.47,59.7872584764061,1765727,0.0,1.0
2017-10-25,72.95,73.37,72.05,72.47,58.9734942396236,1429576,0.0,1.0
2017-10-24,72.31,73.34,72.31,73.31,59.6570561985209,1276896,0.0,1.0
2017-10-23,72.01,72.31,71.44,72.09,58.6642638296463,1030225,0.0,1.0
2017-10-20,71.5,72.0716,71.26,72.01,58.5991626907037,1562825,0.0,1.0
2017-10-19,71.38,71.585,71.005,71.1,57.8586372352317,1104184,0.0,1.0
2017-10-18,71.5,71.95,71.38,71.62,58.2817946383586,855766,0.0,1.0
2017-10-17,72.08,72.28,71.48,71.49,58.1760052875768,1314820,0.0,1.0
2017-10-16,72.44,72.7,71.9,72.02,58.6073003330715,982849,0.0,1.0
2017-10-13,73.18,73.21,72.19,72.35,58.8758425312097,721222,0.0,1.0
2017-10-12,72.49,73.01,72.27,72.89,59.3152752190723,972221,0.0,1.0
2017-10-11,72.06,72.55,71.85,72.35,58.8758425312097,976733,0.0,1.0
2017-10-10,72.25,72.31,71.4,71.92,58.5259239093933,941722,0.0,1.0
2017-10-09,71.76,72.1,71.48,71.9,58.5096486246577,649101,0.0,1.0
2017-10-06,71.46,71.88,71.29,71.55,58.2248311417838,1050800,0.0,1.0
2017-10-05,72.01,72.01,71.14,71.57,58.2411064265194,1268874,0.0,1.0
2017-10-04,71.43,71.94,71.34,71.91,58.5177862670255,1057635,0.0,1.0
2017-10-03,71.74,71.91,71.28,71.48,58.167867645209,905665,0.0,1.0
2017-10-02,71.03,71.55,70.9,71.55,58.2248311417838,892441,0.0,1.0
2017-09-29,69.89,71.07,69.75,70.79,57.6063703218291,1057472,0.0,1.0
2017-09-28,69.97,70.28,69.7,69.92,56.8983954358284,1324456,0.0,1.0
2017-09-27,69.85,70.27,69.68,70.21,57.1343870644953,890824,0.0,1.0
2017-09-26,70.04,70.36,69.8,69.85,56.8414319392536,1183695,0.0,1.0
2017-09-25,70.08,70.25,69.59,70.03,56.9879095018745,975898,0.0,1.0
2017-09-22,69.86,70.125,69.59,70.03,56.9879095018745,2307117,0.0,1.0
2017-09-21,70.2,70.41,69.81,69.93,56.9065330781962,952827,0.0,1.0
