,CMP_Open,CMP_High,CMP_Low,CMP_Close,CMP_Adj Close,CMP_Volume,CMP_Dividend Amount,CMP_Split Coefficient
2018-11-26,48.45,49.49,47.18,48.06,39.4824902777688,390174,0.0,1.0
2018-11-23,47.88,48.92,47.5,48.35,39.7207325203937,114495,0.0,1.0
2018-11-21,49.15,49.44,48.13,48.34,39.712517270648,375454,0.0,1.0
2018-11-20,50.84,50.84,48.66,48.89,40.1643560066608,494721,0.0,1.0
2018-11-19,52.34,52.34,50.75,51.5,42.3085361902849,432205,0.0,1.0
2018-11-16,51.57,52.88,51.5,52.5,43.1300611648536,252105,0.0,1.0
2018-11-15,49.77,51.75,49.43,51.59,42.3824734379961,299987,0.0,1.0
2018-11-14,49.79,50.88,49.2,49.95,41.0351724797035,384440,0.0,1.0
2018-11-13,51.01,51.66,49.79,49.99,41.0680334786863,372482,0.0,1.0
2018-11-12,51.97,52.08,50.44,50.9,41.8156212055437,369945,0.0,1.0
2018-11-09,51.15,52.07,50.4,51.79,42.5467784329098,419260,0.0,1.0
2018-11-08,53.55,53.73,51.68,52.07,42.776805425789,230617,0.0,1.0
2018-11-07,53.71,54.84,52.94,53.84,44.2309046307755,349707,0.0,1.0
2018-11-06,51.45,52.98,50.92,52.92,43.4751016541724,269089,0.0,1.0
2018-11-05,52.67,53.22,51.15,51.45,42.2674599415565,496197,0.0,1.0
2018-11-02,51.77,54.17,51.02,52.4,43.0479086673967,552370,0.0,1.0
2018-11-01,49.26,51.72,47.8,51.42,42.2428141923194,1079382,0.0,1.0
2018-10-31,48.18,48.83,47.39,48.51,39.8521765163247,625700,0.0,1.0
2018-10-30,45.95,47.51,45.63,47.36,38.9074227955707,557795,0.0,1.0
2018-10-29,48.0,48.54,45.25,45.9,37.7079963327005,590237,0.0,1.0
2018-10-26,47.52,48.6,46.29,47.15,38.7349025509113,724530,0.0,1.0
2018-10-25,47.33,48.94,46.76,47.95,39.3921225305662,1217271,0.0,1.0
2018-10-24,54.94,55.17,47.21,47.24,38.8088397986225,2119453,0.0,1.0
2018-10-23,61.46,63.83,54.51,54.7,44.9374161089046,1494860,0.0,1.0
2018-10-22,68.64,69.14,67.86,67.89,55.7733305234649,200724,0.0,1.0
2018-10-19,67.4,68.48,67.27,68.11,55.95406601787,220029,0.0,1.0
2018-10-18,67.36,68.43,66.66,67.34,55.3214917874522,194338,0.0,1.0
2018-10-17,69.16,69.16,67.4,67.69,55.6090255285512,374444,0.0,1.0
2018-10-16,68.07,69.23,67.54,69.03,56.7098689944732,337554,0.0,1.0
2018-10-15,66.32,67.77,65.98,67.29,55.2804155387237,235282,0.0,1.0
2018-10-12,65.28,66.33,63.87,65.94,54.1713568230561,425025,0.0,1.0
2018-10-11,64.6,65.31,64.19,64.5,52.9883608596772,439624,0.0,1.0
2018-10-10,65.25,65.99,64.19,64.25,52.7829796160351,280110,0.0,1.0
2018-10-09,65.93,66.35,64.34,65.21,53.5716435916209,281694,0.0,1.0
2018-10-08,66.23,66.63,65.33,66.07,54.27815506975,232297,0.0,1.0
2018-10-05,66.3,66.61,65.72,66.4,54.5492583113576,144874,0.0,1.0
2018-10-04,68.01,68.42,66.13,66.41,54.5574735611033,249937,0.0,1.0
2018-10-03,67.5,68.42,66.84,68.02,55.8801287701588,141071,0.0,1.0
2018-10-02,67.42,68.86,66.99,67.04,55.0750342950816,178337,0.0,1.0
2018-10-01,67.26,67.64,66.82,67.18,55.1900477915212,142067,0.0,1.0
2018-09-28,65.95,67.5,65.85,67.2,55.2064782910125,209259,0.0,1.0
2018-09-27,65.7,66.15,64.85,66.05,54.2617245702586,155772,0.0,1.0
2018-09-26,66.7,66.85,65.65,65.75,54.015267077888,271700,0.0,1.0
2018-09-25,67.7,67.95,66.85,67.0,55.0421732960988,241931,0.0,1.0
2018-09-24,70.05,70.15,67.2,67.3,55.2886307884694,246042,0.0,1.0
2018-09-21,70.0,70.4,69.25,69.9,57.4245957223479,797802,0.0,1.0
2018-09-20,68.45,70.0,68.05,69.7,57.2602907274341,422415,0.0,1.0
2018-09-19,66.6,67.9,66.6,67.9,55.7815457732106,353084,0.0,1.0
2018-09-18,65.0,66.5,64.75,66.4,54.5492583113576,317146,0.0,1.0
2018-09-17,63.95,65.55,63.86,64.65,53.1115896058625,381731,0.0,1.0
2018-09-14,63.1,63.85,62.6,63.65,52.2900646312939,274487,0.0,1.0
2018-09-13,63.0,63.35,62.0,62.9,51.6739209003674,349243,0.0,1.0
2018-09-12,62.6,63.55,62.15,62.75,51.5506921541821,325408,0.0,1.0
2018-09-11,61.5,62.6,61.25,62.55,51.3863871592684,229965,0.0,1.0
2018-09-10,61.5,61.95,61.28,61.85,50.8113196770703,181972,0.0,1.0
2018-09-07,61.2,61.45,60.35,61.3,50.3594809410576,189304,0.0,1.0
2018-09-06,61.9,62.4,60.6,61.35,50.400557189786,200822,0.0,1.0
2018-09-05,61.45,62.0,61.0,61.7,50.688090930885,175972,0.0,1.0
2018-09-04,62.0,63.35,60.75,61.35,50.400557189786,372764,0.0,1.0
2018-08-31,63.0,63.25,61.95,62.55,51.3863871592684,241752,0.0,1.0
2018-08-30,64.3,64.3,63.0,63.25,51.9614546414664,201343,0.72,1.0
2018-08-29,64.3,65.5,63.85,65.15,52.9199432529551,200985,0.0,1.0
2018-08-28,64.8,65.75,64.25,64.3,52.2295065412895,207041,0.0,1.0
2018-08-27,63.75,64.9,63.75,64.4,52.3107343897208,202332,0.0,1.0
2018-08-24,63.9,64.0,63.35,63.7,51.7421394507021,169103,0.0,1.0
2018-08-23,63.35,63.6,62.75,63.0,51.1735445116834,270963,0.0,1.0
2018-08-22,63.45,63.85,63.18,63.55,51.6202976780552,283918,0.0,1.0
2018-08-21,62.1,63.2,62.05,63.1,51.2547723601146,302311,0.0,1.0
2018-08-20,61.4,62.05,60.7,61.95,50.3206521031553,278747,0.0,1.0
2018-08-17,60.9,61.3,60.15,61.15,49.6708293157054,328189,0.0,1.0
2018-08-16,61.25,61.7,60.55,61.1,49.6302153914897,276433,0.0,1.0
2018-08-15,61.25,61.6,59.95,60.95,49.5083736188429,423702,0.0,1.0
2018-08-14,62.05,63.05,60.95,61.85,50.2394242547241,641732,0.0,1.0
2018-08-13,63.3,63.4,61.1,61.8,50.1988103305084,662892,0.0,1.0
2018-08-10,65.0,65.4,63.2,63.3,51.4172280569771,333048,0.0,1.0
2018-08-09,65.05,65.7,64.4,65.4,53.1230128740332,216785,0.0,1.0
2018-08-08,65.2,65.8,64.71,65.05,52.8387154045239,316156,0.0,1.0
2018-08-07,67.4,68.95,65.0,65.3,53.041785025602,362531,0.0,1.0
2018-08-06,68.2,68.95,67.55,68.25,55.4380065543236,216515,0.0,1.0
2018-08-03,66.1,68.85,66.1,68.45,55.6004622511861,273747,0.0,1.0
2018-08-02,66.1,67.3,65.5,66.6,54.0977470552081,296224,0.0,1.0
2018-08-01,67.5,67.9,65.65,66.7,54.1789749036394,346498,0.0,1.0
2018-07-31,68.15,68.55,67.15,67.85,55.1130951605987,392465,0.0,1.0
2018-07-30,68.0,68.55,67.65,67.75,55.0318673121674,180354,0.0,1.0
2018-07-27,68.9,68.9,67.3,67.85,55.1130951605987,181639,0.0,1.0
2018-07-26,68.15,68.95,67.75,68.6,55.722304023833,179969,0.0,1.0
2018-07-25,68.4,68.55,67.2,68.2,55.397392630108,161213,0.0,1.0
2018-07-24,68.45,68.95,68.0,68.45,55.6004622511861,239164,0.0,1.0
2018-07-23,67.65,67.85,66.9,67.3,54.6663419942268,307573,0.0,1.0
2018-07-20,67.65,68.15,67.25,67.7,54.9912533879518,169214,0.0,1.0
2018-07-19,67.0,67.75,65.5,67.65,54.9506394637362,198453,0.0,1.0
2018-07-18,67.0,68.05,67.0,67.8,55.072481236383,205927,0.0,1.0
2018-07-17,66.55,67.5,66.45,67.15,54.54450022158,202133,0.0,1.0
2018-07-16,66.25,66.7,65.75,66.55,54.0571331309925,150428,0.0,1.0
2018-07-13,65.55,66.35,65.3,66.25,53.8134495856988,250743,0.0,1.0
2018-07-12,66.0,66.7,65.1,65.8,53.4479242677582,178829,0.0,1.0
2018-07-11,66.35,67.0,64.85,65.4,53.1230128740332,203270,0.0,1.0
2018-07-10,66.65,67.18,66.25,67.1,54.5038862973643,189257,0.0,1.0
2018-07-09,66.5,67.0,66.15,66.75,54.219588827855,271975,0.0,1.0
2018-07-06,66.0,66.7,65.45,66.0,53.6103799646207,203187,0.0,1.0
2018-07-05,65.6,65.8,64.55,65.65,53.3260824951113,257191,0.0,1.0
2018-07-03,65.5,65.5,64.45,65.05,52.8387154045239,86098,0.0,1.0
2018-07-02,65.15,65.55,64.2,64.65,52.5138040107989,224145,0.0,1.0
2018-06-29,65.7,66.3,65.55,65.75,53.4073103435426,172453,0.0,1.0
2018-06-28,64.3,65.6,64.05,65.45,53.1636267982488,147609,0.0,1.0
2018-06-27,65.25,65.72,64.3,64.45,52.3513483139364,201828,0.0,1.0
2018-06-26,65.3,65.75,65.15,65.25,53.0011711013863,175989,0.0,1.0
2018-06-25,65.6,65.9,65.05,65.6,53.2854685708957,229170,0.0,1.0
2018-06-22,66.1,66.65,65.85,66.0,53.6103799646207,277232,0.0,1.0
2018-06-21,65.25,65.65,65.1,65.35,53.0823989498176,164285,0.0,1.0
2018-06-20,65.9,66.2,65.25,65.5,53.2042407224644,172849,0.0,1.0
2018-06-19,66.85,66.85,65.3,65.55,53.2448546466801,258156,0.0,1.0
2018-06-18,66.65,67.55,66.63,67.55,54.8694116153049,288524,0.0,1.0
2018-06-15,68.9,69.05,66.5,67.0,54.4226584489331,549985,0.0,1.0
2018-06-14,67.55,69.5,67.5,69.45,56.4127407354986,265031,0.0,1.0
2018-06-13,69.2,69.3,67.01,67.4,54.7475698426581,236723,0.0,1.0
2018-06-12,69.4,70.25,68.95,69.3,56.2908989628517,358762,0.0,1.0
2018-06-11,68.25,69.55,68.13,69.5,56.4533546597142,1079629,0.0,1.0
2018-06-08,68.0,69.1,67.95,68.35,55.5192344027549,603369,0.0,1.0
2018-06-07,68.3,69.0,67.6,67.95,55.1943230090299,244371,0.0,1.0
2018-06-06,66.25,68.3,66.25,68.3,55.4786204785393,258646,0.0,1.0
2018-06-05,65.35,66.5,65.35,66.05,53.6509938888363,215848,0.0,1.0
2018-06-04,65.8,65.8,65.15,65.35,53.0823989498176,216749,0.0,1.0
2018-06-01,65.5,66.2,65.25,65.35,53.0823989498176,171020,0.0,1.0
2018-05-31,65.55,66.55,65.15,65.4,53.1230128740332,388462,0.72,1.0
2018-05-30,65.75,66.7,65.65,66.25,53.227459209085,366085,0.0,1.0
2018-05-29,65.2,66.25,65.2,65.55,52.6650558664984,227260,0.0,1.0
2018-05-25,65.8,66.1,65.5,65.7,52.7855708684813,162097,0.0,1.0
2018-05-24,66.0,66.4,65.7,66.1,53.1069442071022,209484,0.0,1.0
2018-05-23,66.85,66.85,65.71,66.0,53.0266008724469,307014,0.0,1.0
2018-05-22,69.1,69.25,67.05,67.1,53.9103775536544,289802,0.0,1.0
2018-05-21,68.8,69.15,68.65,68.95,55.396729244776,324683,0.0,1.0
2018-05-18,69.25,69.45,68.45,68.7,55.195870908138,264204,0.0,1.0
2018-05-17,69.1,69.95,69.1,69.2,55.5975875814141,211481,0.0,1.0
2018-05-16,69.6,70.1,69.1,69.25,55.6377592487417,303049,0.0,1.0
2018-05-15,68.4,69.45,68.15,69.4,55.7582742507245,266456,0.0,1.0
2018-05-14,69.1,69.6,68.65,68.8,55.2762142427932,189912,0.0,1.0
2018-05-11,69.15,69.5,68.55,69.0,55.4369009121036,216647,0.0,1.0
2018-05-10,69.0,70.3,68.95,69.0,55.4369009121036,221112,0.0,1.0
2018-05-09,69.3,69.65,67.66,69.0,55.4369009121036,222552,0.0,1.0
2018-05-08,68.75,69.5,68.4,69.05,55.4770725794312,286289,0.0,1.0
2018-05-07,69.5,69.78,68.78,68.9,55.3565575774484,293072,0.0,1.0
2018-05-04,66.05,70.35,66.0,69.45,55.7984459180521,431003,0.0,1.0
2018-05-03,69.4,69.4,65.6,66.3,53.2676308764126,597868,0.0,1.0
2018-05-02,66.05,71.25,66.05,69.4,55.7582742507245,1002930,0.0,1.0
2018-05-01,67.2,67.4,66.4,66.65,53.5488325477059,346611,0.0,1.0
2018-04-30,67.45,67.8,66.7,67.3,54.0710642229648,591883,0.0,1.0
2018-04-27,67.65,68.4,67.05,67.25,54.0308925556372,315924,0.0,1.0
2018-04-26,67.75,68.2,67.25,67.75,54.4326092289133,175610,0.0,1.0
2018-04-25,67.2,68.4,66.75,67.4,54.1514075576201,313683,0.0,1.0
2018-04-24,68.25,69.0,67.05,67.35,54.1112358902924,348935,0.0,1.0
2018-04-23,67.45,68.15,67.0,67.85,54.5129525635686,227403,0.0,1.0
2018-04-20,67.5,67.95,66.95,67.7,54.3924375615857,242710,0.0,1.0
2018-04-19,67.15,68.06,66.65,67.35,54.1112358902924,260699,0.0,1.0
2018-04-18,67.1,67.95,67.0,67.1,53.9103775536544,181592,0.0,1.0
2018-04-17,66.7,66.95,66.4,66.65,53.5488325477059,261758,0.0,1.0
2018-04-16,65.05,66.8,64.7,66.45,53.3881458783955,326890,0.0,1.0
2018-04-13,65.0,65.5,64.55,64.7,51.9821375219291,427300,0.0,1.0
2018-04-12,63.55,64.85,63.15,64.5,51.8214508526186,193675,0.0,1.0
2018-04-11,62.6,63.75,62.6,63.45,50.9778458387388,266517,0.0,1.0
2018-04-10,63.1,63.7,62.3,62.6,50.2949274941694,385146,0.0,1.0
2018-04-09,62.7,62.95,62.0,62.4,50.1342408248589,251276,0.0,1.0
2018-04-06,63.4,64.03,62.3,62.4,50.1342408248589,237576,0.0,1.0
2018-04-05,62.65,64.15,62.6,63.75,51.2188758427044,216475,0.0,1.0
2018-04-04,60.45,62.75,60.25,62.5,50.2145841595142,217068,0.0,1.0
2018-04-03,60.4,62.0,60.4,61.2,49.1701208089963,431617,0.0,1.0
2018-04-02,60.25,60.41,59.2,59.5,47.8042841198575,227839,0.0,1.0
2018-03-29,59.55,60.7,59.55,60.3,48.4470307970993,469567,0.0,1.0
2018-03-28,59.35,59.58,58.5,58.85,47.2820524445985,318056,0.0,1.0
2018-03-27,60.6,60.6,59.3,59.35,47.6837691178746,422812,0.0,1.0
2018-03-26,61.0,61.05,59.5,60.55,48.6478891337373,828470,0.0,1.0
2018-03-23,60.6,60.6,59.95,60.45,48.5675457990821,271508,0.0,1.0
2018-03-22,60.9,61.6,60.25,60.3,48.4470307970993,390119,0.0,1.0
2018-03-21,61.9,62.95,61.1,61.25,49.2102924763239,317945,0.0,1.0
2018-03-20,61.75,62.15,61.6,61.8,49.6521808169276,221119,0.0,1.0
2018-03-19,61.95,61.95,60.7,61.55,49.4513224802895,261060,0.0,1.0
2018-03-16,62.3,62.6,61.5,62.05,49.8530391535657,855010,0.0,1.0
2018-03-15,62.5,62.75,61.85,62.25,50.0137258228761,323892,0.0,1.0
2018-03-14,62.9,63.65,62.4,62.5,50.2145841595142,234134,0.0,1.0
2018-03-13,63.0,64.1,62.35,62.85,50.4957858308074,246294,0.0,1.0
2018-03-12,63.4,64.2,62.65,62.95,50.5761291654627,247280,0.0,1.0
2018-03-09,63.0,63.75,62.6,63.3,50.8573308367559,523397,0.0,1.0
2018-03-08,62.45,62.95,62.0,62.75,50.4154424961522,275527,0.0,1.0
2018-03-07,62.2,62.85,62.1,62.4,50.1342408248589,325815,0.0,1.0
2018-03-06,62.4,62.65,61.45,62.45,50.1744124921865,278495,0.0,1.0
2018-03-05,60.1,62.7,60.05,62.0,49.812867486238,270929,0.0,1.0
2018-03-02,58.6,60.75,56.5,60.35,48.4872024644269,498628,0.0,1.0
2018-03-01,60.35,60.35,58.3,58.9,47.3222241119261,1887146,0.0,1.0
2018-02-28,61.6,62.3,60.25,60.3,48.4470307970993,441397,0.72,1.0
2018-02-27,62.45,63.31,62.4,62.5,49.6220816915553,323912,0.0,1.0
2018-02-26,62.8,62.95,62.2,62.65,49.741174687615,224054,0.0,1.0
2018-02-23,62.3,62.85,62.05,62.8,49.8602676836747,236566,0.0,1.0
2018-02-22,61.95,62.75,61.7,61.95,49.1854073726696,352582,0.0,1.0
2018-02-21,61.9,63.05,61.78,61.85,49.1060120419631,322820,0.0,1.0
2018-02-20,62.55,62.9,61.75,61.85,49.1060120419631,504981,0.0,1.0
2018-02-16,62.75,63.85,61.95,62.8,49.8602676836747,526547,0.0,1.0
2018-02-15,66.35,67.2,62.9,63.0,50.0190583450877,988806,0.0,1.0
2018-02-14,68.2,69.18,63.5,67.75,53.7903365536459,802344,0.0,1.0
2018-02-13,69.4,69.9,69.05,69.25,54.9812665142433,251603,0.0,1.0
2018-02-12,69.35,70.3,68.7,69.55,55.2194525063627,462704,0.0,1.0
2018-02-09,67.55,69.25,66.5,68.7,54.5445921953576,551876,0.0,1.0
2018-02-08,68.35,68.5,67.2,67.25,53.3933599001135,388723,0.0,1.0
2018-02-07,67.8,68.69,67.75,68.25,54.1873132071784,365010,0.0,1.0
2018-02-06,67.2,68.95,66.66,68.15,54.1079178764719,584077,0.0,1.0
2018-02-05,69.85,70.7,68.05,68.15,54.1079178764719,486316,0.0,1.0
2018-02-02,71.7,71.7,69.85,69.85,55.4576384984822,409421,0.0,1.0
2018-02-01,72.7,72.93,71.35,72.25,57.3631264354379,205246,0.0,1.0
2018-01-31,73.6,73.6,71.8,72.9,57.8791960850301,471867,0.0,1.0
2018-01-30,73.1,74.35,72.65,73.3,58.196777407856,290838,0.0,1.0
2018-01-29,74.5,74.95,73.25,73.45,58.3158704039158,187568,0.0,1.0
2018-01-26,75.0,75.35,74.6,74.7,59.3083120377469,207067,0.0,1.0
2018-01-25,75.15,75.15,74.0,74.7,59.3083120377469,230359,0.0,1.0
2018-01-24,75.05,75.5,74.4,74.65,59.2686143723936,212666,0.0,1.0
2018-01-23,74.05,74.9,73.15,74.6,59.2289167070404,287850,0.0,1.0
2018-01-22,74.45,74.45,73.4,73.75,58.5540563960352,226584,0.0,1.0
2018-01-19,73.45,74.5,73.34,74.45,59.1098237109807,247567,0.0,1.0
2018-01-18,73.15,73.85,73.0,73.3,58.196777407856,415201,0.0,1.0
2018-01-17,74.0,74.0,73.1,73.55,58.3952657346223,339251,0.0,1.0
2018-01-16,75.55,75.55,73.25,73.55,58.3952657346223,341708,0.0,1.0
2018-01-12,75.8,75.95,74.95,75.5,59.9434746833988,184208,0.0,1.0
2018-01-11,73.45,75.8,73.4,75.65,60.0625676794585,354176,0.0,1.0
2018-01-10,74.0,74.83,73.25,73.45,58.3158704039158,280549,0.0,1.0
2018-01-09,74.4,74.85,74.0,74.15,58.8716377188612,259778,0.0,1.0
2018-01-08,74.3,75.25,73.65,74.55,59.1892190416871,331054,0.0,1.0
2018-01-05,75.55,75.6,74.25,74.25,58.9510330495677,248155,0.0,1.0
2018-01-04,75.25,75.55,74.6,75.15,59.6655910259261,246805,0.0,1.0
2018-01-03,75.2,76.65,74.43,74.7,59.3083120377469,680869,0.0,1.0
2018-01-02,72.6,75.15,72.6,74.95,59.5068003645131,420551,0.0,1.0
2017-12-29,71.65,72.95,71.35,72.25,57.3631264354379,331759,0.0,1.0
2017-12-28,70.5,71.7,70.35,71.4,56.6882661244328,262189,0.0,1.0
2017-12-27,70.35,71.18,70.35,70.55,56.0134058134276,290481,0.0,1.0
2017-12-26,69.0,70.65,69.0,70.3,55.8149174866614,209716,0.0,1.0
2017-12-22,68.95,69.31,68.55,69.0,54.782778187477,292285,0.0,1.0
2017-12-21,69.0,70.0,68.73,68.8,54.6239875260641,345791,0.0,1.0
2017-12-20,70.1,70.4,68.8,68.8,54.6239875260641,295975,0.0,1.0
2017-12-19,70.35,70.55,69.28,69.6,55.259150171716,277740,0.0,1.0
2017-12-18,70.7,71.4,70.15,70.2,55.7355221559549,370706,0.0,1.0
2017-12-15,68.8,70.7,68.8,70.35,55.8546151520146,817385,0.0,1.0
2017-12-14,68.8,69.5,68.4,68.65,54.5048945300043,236714,0.0,1.0
2017-12-13,69.05,69.45,68.45,68.7,54.5445921953576,298802,0.0,1.0
2017-12-12,68.6,69.3,68.6,68.65,54.5048945300043,203270,0.0,1.0
2017-12-11,69.3,69.65,68.65,68.85,54.6636851914173,183293,0.0,1.0
2017-12-08,68.95,69.5,68.6,69.05,54.8224758528303,225612,0.0,1.0
2017-12-07,67.75,68.85,67.45,68.45,54.3461038685914,383270,0.0,1.0
2017-12-06,68.3,68.9,67.75,67.75,53.7903365536459,163292,0.0,1.0
2017-12-05,68.5,69.0,67.7,68.3,54.2270108725316,210435,0.0,1.0
2017-12-04,69.7,70.15,68.7,68.75,54.5842898607108,306986,0.0,1.0
2017-12-01,69.8,69.9,68.36,69.15,54.9018711835368,283223,0.0,1.0
2017-11-30,68.3,69.75,68.3,69.75,55.3782431677757,383775,0.72,1.0
2017-11-29,68.7,69.75,68.65,69.0,54.2230563158298,317089,0.0,1.0
2017-11-28,67.7,68.95,67.55,68.9,54.1444721762416,329408,0.0,1.0
2017-11-27,67.25,67.8,66.9629,67.4,52.9657100824192,259787,0.0,1.0
2017-11-24,67.55,67.55,67.2,67.4,52.9657100824192,83316,0.0,1.0
2017-11-22,66.55,67.75,66.5,67.3,52.8871259428311,275662,0.0,1.0
2017-11-21,65.4,66.85,65.4,66.3,52.1012845469495,193285,0.0,1.0
2017-11-20,64.75,65.65,64.75,65.6,51.5511955698324,232501,0.0,1.0
2017-11-17,64.25,65.05,64.2,64.7,50.8439383135389,565922,0.0,1.0
2017-11-16,65.45,65.45,64.4,64.45,50.6474779645685,396227,0.0,1.0
2017-11-15,66.2,66.275,64.6137,65.05,51.1189828020975,317108,0.0,1.0
2017-11-14,67.0,67.0,66.2,66.5,52.2584528261258,200731,0.0,1.0
2017-11-13,66.15,67.8,66.08,67.45,53.0050021522133,322439,0.0,1.0
2017-11-10,65.95,66.1,65.6,66.05,51.9048241979791,381601,0.0,1.0
2017-11-09,65.6,66.11,65.45,65.8,51.7083638490087,243732,0.0,1.0
2017-11-08,66.15,66.25,65.55,66.05,51.9048241979791,289378,0.0,1.0
2017-11-07,66.0,66.35,65.8,66.3,52.1012845469495,422707,0.0,1.0
2017-11-06,66.2,66.3824,65.9,66.0,51.865532128185,279644,0.0,1.0
2017-11-03,65.9,65.995,65.45,65.75,51.6690717792146,328527,0.0,1.0
2017-11-02,65.9,66.35,65.7,66.0,51.865532128185,542598,0.0,1.0
2017-11-01,66.65,67.35,65.35,65.6,51.5511955698324,502065,0.0,1.0
2017-10-31,65.5,66.05,64.1,65.6,51.5511955698324,606591,0.0,1.0
2017-10-30,66.0,66.45,65.55,66.25,52.0619924771554,378020,0.0,1.0
2017-10-27,66.8,66.85,65.95,66.25,52.0619924771554,348905,0.0,1.0
2017-10-26,67.1,67.1,66.4,66.85,52.5334973146843,211934,0.0,1.0
2017-10-25,67.25,67.25,65.95,66.95,52.6120814542725,161180,0.0,1.0
2017-10-24,66.2,67.6,65.875,67.2,52.8085418032429,235347,0.0,1.0
2017-10-23,65.6,66.0,65.35,65.95,51.8262400583909,211290,0.0,1.0
2017-10-20,65.15,65.55,64.5,65.35,51.354735220862,491643,0.0,1.0
2017-10-19,65.3,65.3,64.1,64.7,50.8439383135389,415032,0.0,1.0
2017-10-18,66.0,66.55,65.3,65.3,51.3154431510679,294259,0.0,1.0
2017-10-17,65.8,65.9,65.15,65.75,51.6690717792146,341233,0.0,1.0
2017-10-16,66.85,66.85,65.85,65.95,51.8262400583909,328202,0.0,1.0
2017-10-13,66.85,66.9,66.1,66.65,52.376329035508,291773,0.0,1.0
2017-10-12,66.4,67.0,66.09,66.4,52.1798686865376,154963,0.0,1.0
2017-10-11,66.25,66.85,65.6977,66.4,52.1798686865376,381656,0.0,1.0
2017-10-10,65.75,66.45,65.75,66.1,51.9441162677731,379089,0.0,1.0
2017-10-09,66.3,66.65,65.0,65.3,51.3154431510679,374007,0.0,1.0
2017-10-06,67.15,67.35,66.25,66.3,52.1012845469495,351902,0.0,1.0
2017-10-05,66.55,67.9,66.45,67.15,52.7692497334488,388723,0.0,1.0
2017-10-04,66.5,67.05,66.2,66.25,52.0619924771554,288970,0.0,1.0
2017-10-03,65.95,66.4,65.3,66.2,52.0227004073613,560824,0.0,1.0
2017-10-02,65.85,66.25,65.0,65.95,51.8262400583909,554881,0.0,1.0
2017-09-29,64.5,65.45,64.1218,64.9,51.0011065927152,428653,0.0,1.0
2017-09-28,64.0,64.4,63.3,64.4,50.6081858947745,364959,0.0,1.0
2017-09-27,62.55,64.35,62.2,64.15,50.4117255458041,687516,0.0,1.0
2017-09-26,62.2,62.6,61.75,62.35,48.9972110332172,976497,0.0,1.0
2017-09-25,61.5,62.95,61.5,62.35,48.9972110332172,1149214,0.0,1.0
2017-09-22,63.05,64.45,59.72,60.1,47.2290678924836,2791400,0.0,1.0
2017-09-21,70.05,70.2,69.4,69.5,54.6159770137706,189202,0.0,1.0
2017-09-20,70.55,70.9,69.85,69.95,54.9696056419173,198967,0.0,1.0
2017-09-19,70.65,70.85,69.95,70.3,55.2446501304758,210725,0.0,1.0
2017-09-18,69.75,71.0,69.45,70.6,55.4804025492403,213665,0.0,1.0
2017-09-15,69.0,69.85,68.75,69.65,54.7338532231528,424798,0.0,1.0
2017-09-14,68.9,69.35,68.405,69.0,54.2230563158298,227883,0.0,1.0
2017-09-13,69.6,69.95,69.15,69.2,54.3802245950061,177193,0.0,1.0
2017-09-12,68.6,70.25,68.25,69.7,54.7731452929469,400280,0.0,1.0
2017-09-11,67.7,69.55,67.6,68.3,53.6729673387126,370549,0.0,1.0
2017-09-08,67.75,68.0,66.75,67.6,53.1228783615955,232129,0.0,1.0
2017-09-07,67.9,68.2,67.3,67.75,53.2407545709778,193864,0.0,1.0
2017-09-06,67.25,68.0,67.15,67.9,53.35863078036,189507,0.0,1.0
2017-09-05,67.8,68.4149,66.6,67.15,52.7692497334488,260845,0.0,1.0
2017-09-01,66.95,68.2,66.75,67.8,53.2800466407719,274284,0.0,1.0
2017-08-31,66.65,67.05,66.4,66.8,52.4942052448903,277557,0.0,1.0
2017-08-30,67.3,67.5,66.3,66.35,52.1405766167435,257132,0.72,1.0
2017-08-29,67.9,68.525,67.35,68.05,52.9024338567079,227593,0.0,1.0
2017-08-28,67.75,68.6,67.75,68.2,53.0190446587432,339835,0.0,1.0
2017-08-25,66.85,67.95,66.7,67.6,52.5526014506018,225150,0.0,1.0
2017-08-24,66.45,66.6,65.8,66.5,51.6974555690092,182538,0.0,1.0
2017-08-23,65.6,67.45,65.35,66.45,51.6585853016641,364425,0.0,1.0
2017-08-22,65.15,65.9,65.15,65.6,50.997790756797,264512,0.0,1.0
2017-08-21,64.05,65.05,64.0,64.95,50.4924772813105,293674,0.0,1.0
2017-08-18,63.85,64.325,63.55,64.1,49.8316827364434,292658,0.0,1.0
2017-08-17,64.0,64.55,63.75,64.0,49.7539422017532,326628,0.0,1.0
2017-08-16,63.95,64.45,63.7,64.2,49.9094232711337,229072,0.0,1.0
2017-08-15,64.0,64.1,63.3,63.85,49.6373313997178,291082,0.0,1.0
2017-08-14,64.0,64.2585,63.4,64.1,49.8316827364434,377570,0.0,1.0
2017-08-11,63.7,64.25,62.75,63.95,49.7150719344081,382905,0.0,1.0
2017-08-10,65.2,65.3,63.75,63.75,49.5595908650276,306745,0.0,1.0
2017-08-09,66.2,66.6,65.0,65.05,50.5702178160007,441679,0.0,1.0
2017-08-08,67.4,67.4,65.2,66.35,51.5808447669738,822323,0.0,1.0
2017-08-07,68.0,68.5,67.55,67.8,52.7080825199823,344280,0.0,1.0
2017-08-04,68.4,68.55,67.55,67.9,52.7858230546725,273009,0.0,1.0
