,HF_Open,HF_High,HF_Low,HF_Close,HF_Adj Close,HF_Volume,HF_Dividend Amount,HF_Split Coefficient
2023-11-16,20.3895,20.3895,20.3895,20.3895,19.8943970352879,1,0.0,1.0
2023-11-15,20.4,20.44,20.3859,20.3859,19.8908844513929,603,0.0,1.0
2023-11-14,20.295,20.37,20.28,20.3572,19.8628813520078,11898,0.0,1.0
2023-11-13,20.13,20.13,20.0947,20.0947,19.6067554429976,296,0.0,1.0
2023-11-10,20.04,20.13,20.04,20.1212,19.6326119633358,951,0.0,1.0
2023-11-09,20.08,20.08,19.9474,19.9474,19.4630322186273,300,0.0,1.0
2023-11-08,20.0296,20.0296,20.0296,20.0296,19.5432362175631,300,0.0,1.0
2023-11-07,20.0399,20.0399,20.005,20.0187,19.5326008941032,300,0.0,1.0
2023-11-06,19.97,19.9933,19.97,19.9933,19.5078176632885,200,0.0,1.0
2023-11-03,20.0107,20.0107,20.0107,20.0107,19.5247951521143,7,0.0,1.0
2023-11-02,19.899,19.899,19.899,19.899,19.4158074795946,140,0.0,1.0
2023-11-01,19.73,19.73,19.7,19.7,19.2216396476211,170,0.0,1.0
2023-10-31,19.6025,19.6025,19.6025,19.6025,19.1265071671317,2,0.0,1.0
2023-10-30,19.51,19.57,19.51,19.5545,19.0796727151984,500,0.0,1.0
2023-10-27,19.5,19.5,19.4482,19.4482,18.9759539185211,1150,0.0,1.0
2023-10-26,19.495,19.4997,19.495,19.4997,19.0262033825745,345,0.0,1.0
2023-10-25,19.4772,19.4772,19.4772,19.4772,19.0042497332308,2,0.0,1.0
2023-10-24,19.475,19.51,19.4714,19.4714,18.9985905702889,1802,0.0,1.0
2023-10-23,19.47,19.5,19.47,19.4832,19.0101040397225,900,0.0,1.0
2023-10-20,19.5,19.5,19.4781,19.4872,19.0140069107169,1000,0.0,1.0
2023-10-19,19.5,19.51,19.4747,19.4747,19.0018104388593,1055,0.0,1.0
2023-10-18,19.4824,19.4824,19.4824,19.4824,19.0093234655236,300,0.0,1.0
2023-10-17,19.66,19.6611,19.66,19.6611,19.1836842272002,300,0.0,1.0
2023-10-16,19.595,19.69,19.595,19.6887,19.2106140370619,800,0.0,1.0
2023-10-13,19.61,19.61,19.51,19.5235,19.0494254649914,1902,0.0,1.0
2023-10-12,19.67,19.67,19.56,19.62,19.1435822277323,2300,0.0,1.0
2023-10-11,19.63,19.71,19.62,19.71,19.2313968251073,3602,0.0,1.0
2023-10-10,19.65,19.65,19.6407,19.6407,19.1637795851286,146,0.0,1.0
2023-10-09,19.58,19.58,19.5346,19.5346,19.060255932001,260,0.0,1.0
2023-10-06,19.29,19.4614,19.29,19.4614,18.9888333928028,300,0.0,1.0
2023-10-05,19.34,19.35,19.2979,19.2979,18.829303540905,700,0.0,1.0
2023-10-04,19.2536,19.3167,19.2536,19.3167,18.8476470345789,1533,0.0,1.0
2023-10-03,19.34,19.34,19.1771,19.1771,18.7114368368729,1012,0.0,1.0
2023-10-02,19.355,19.3883,19.355,19.3883,18.9175084253793,240,0.0,1.0
2023-09-29,19.46,19.4798,19.4036,19.4036,18.9324369069331,9100,0.0,1.0
2023-09-28,19.4007,19.4007,19.4007,19.4007,18.9296073254621,2836,0.0,1.0
2023-09-27,19.41,19.41,19.35,19.3667,18.8964329220094,2836,0.0,1.0
2023-09-26,19.43,19.43,19.3658,19.3658,18.8955547760356,1200,0.0,1.0
2023-09-25,19.4699,19.47,19.4548,19.4548,18.9823936556619,900,0.0,1.0
2023-09-22,19.5,19.5,19.4373,19.4373,18.9653185950612,601,0.0,1.0
2023-09-21,19.505,19.505,19.47,19.47,18.9972245654408,1926,0.0,1.0
2023-09-20,19.6554,19.68,19.5771,19.5771,19.101723936317,3511,0.0,1.0
2023-09-19,19.6299,19.65,19.625,19.6369,19.1600718576838,807,0.0,1.0
2023-09-18,19.69,19.7,19.6694,19.6694,19.1917826845137,602,0.0,1.0
2023-09-15,19.73,19.74,19.69,19.7085,19.2299332484843,1010,0.0,1.0
2023-09-14,19.8099,19.831,19.77,19.831,19.3494586726891,2507,0.0,1.0
2023-09-13,19.74,19.74,19.74,19.74,19.2606683575656,1012,0.0,1.0
2023-09-12,19.7223,19.7223,19.7223,19.7223,19.2433981534152,7,0.0,1.0
2023-09-11,19.7255,19.81,19.7255,19.759,19.2792069947892,7214,0.0,1.0
2023-09-08,19.6638,19.6638,19.6631,19.6631,19.1856356626974,3632,0.0,1.0
2023-09-07,19.6471,19.6471,19.6471,19.6471,19.1700241787197,9,0.0,1.0
2023-09-06,19.69,19.72,19.64,19.685,19.207003881392,8605,0.0,1.0
2023-09-05,19.81,19.81,19.73,19.7493,19.2697425326276,3795,0.0,1.0
2023-09-01,19.83,19.83,19.76,19.8016,19.3207725708799,4679,0.0,1.0
2023-08-31,19.8496,19.8496,19.7735,19.7735,19.293354902144,8061,0.0,1.0
2023-08-30,19.75,19.7703,19.75,19.7703,19.2902326053484,1102,0.0,1.0
2023-08-29,19.7525,19.7525,19.7308,19.7308,19.2516917542783,1382,0.0,1.0
2023-08-28,19.58,19.59,19.55,19.5652,19.0901128951085,23025,0.0,1.0
2023-08-25,19.49,19.54,19.41,19.476,19.0030788719325,32688,0.0,1.0
2023-08-24,19.62,19.65,19.41,19.4365,18.9645380208624,25254,0.0,1.0
2023-08-23,19.59,19.61,19.58,19.61,19.1338250502462,11347,0.0,1.0
2023-08-22,19.49,19.49,19.4,19.4287,18.9569274224232,1772,0.0,1.0
2023-08-21,19.42,19.46,19.39,19.4562,18.98375966051,42493,0.0,1.0
2023-08-18,19.38,19.44,19.38,19.434,18.9620987264908,47678,0.0,1.0
2023-08-17,19.52,19.55,19.42,19.4239,18.9522439772299,45683,0.0,1.0
2023-08-16,19.6799,19.71,19.52,19.5449,19.0703058248117,36327,0.0,1.0
2023-08-15,19.78,19.78,19.68,19.6847,19.2067111660674,2529,0.0,1.0
2023-08-14,19.84,19.8462,19.84,19.8462,19.364289582468,38470,0.0,1.0
2023-08-11,19.79,19.84,19.79,19.8113,19.3302370330415,63627,0.0,1.0
2023-08-10,19.99,20.04,19.81,19.8313,19.3497513880137,1514,0.0,1.0
2023-08-09,19.92,19.93,19.81,19.842,19.3601915679238,62889,0.0,1.0
2023-08-08,20.1,20.134,19.81,19.9612,19.4764971235581,65257,0.0,1.0
2023-08-07,20.01,20.21,19.9472,20.0328,19.5463585143586,72409,0.0,1.0
2023-08-04,20.0799,20.08,19.9271,19.9271,19.4432251483305,1003,0.0,1.0
2023-08-03,20.05,20.06,19.9205,19.9859,19.5005973519488,29290,0.0,1.0
