,META_Open,META_High,META_Low,META_Close,META_Adj Close,META_Volume,META_Dividend Amount,META_Split Coefficient
2018-01-03,181.88,184.78,181.33,184.67,184.117529212669,16595495,0.0,1.0
2018-01-02,177.68,181.58,177.55,181.42,180.877252124126,17694891,0.0,1.0
2017-12-29,178.0,178.85,176.46,176.46,175.932090782843,10028758,0.0,1.0
2017-12-28,177.95,178.94,177.68,177.92,177.38772295185,11008996,0.0,1.0
2017-12-27,176.55,178.44,176.26,177.62,177.088620451369,9296258,0.0,1.0
2017-12-26,176.63,177.0,174.67,175.99,175.463496865423,8726829,0.0,1.0
2017-12-22,177.14,177.53,176.23,177.2,176.669876950696,8462491,0.0,1.0
2017-12-21,177.94,178.68,177.05,177.45,176.91912903443,11050969,0.0,1.0
2017-12-20,179.81,179.81,177.36,177.89,177.357812701802,11754823,0.0,1.0
2017-12-19,179.95,180.08,178.22,179.51,178.972966204398,14769239,0.0,1.0
2017-12-18,181.01,181.3,179.75,180.82,180.279047123165,17014337,0.0,1.0
2017-12-15,179.02,180.49,178.36,180.18,179.640961788806,26225100,0.0,1.0
2017-12-14,178.29,180.36,177.68,178.39,177.85631686927,13393757,0.0,1.0
2017-12-13,177.3,179.16,177.25,178.3,177.766586119125,14406776,0.0,1.0
2017-12-12,178.6,179.18,176.6,176.96,176.430594950311,16675275,0.0,1.0
2017-12-11,179.3,180.22,178.8,179.04,178.504372286978,12630207,0.0,1.0
2017-12-08,181.53,182.28,178.74,179.0,178.464491953581,19377310,0.0,1.0
2017-12-07,175.8,180.39,175.8,180.14,179.601081455408,19588217,0.0,1.0
2017-12-06,172.5,176.77,171.9,176.06,175.533287448868,20059293,0.0,1.0
2017-12-05,170.45,175.38,169.01,172.83,172.312950527024,20028656,0.0,1.0
2017-12-04,176.29,176.57,170.79,171.47,170.957019191511,24184006,0.0,1.0
2017-12-01,176.03,177.48,172.34,175.1,174.57615944733,19966643,0.0,1.0
2017-11-30,176.85,178.28,175.2,177.18,176.649936783997,25127073,0.0,1.0
2017-11-29,181.89,181.97,174.0,175.13,174.606069697378,41843917,0.0,1.0
2017-11-28,183.51,184.25,182.09,182.42,181.874260459063,13761926,0.0,1.0
2017-11-27,182.56,183.73,181.99,183.03,182.482435543374,12249740,0.0,1.0
2017-11-24,180.4,183.15,180.29,182.78,182.23318345964,9426010,0.0,1.0
2017-11-22,181.3,181.73,180.44,180.87,180.328897539912,10238140,0.0,1.0
2017-11-21,179.15,181.89,178.99,181.86,181.315935791498,14409305,0.0,1.0
2017-11-20,178.87,179.5,178.1,178.74,178.205269786497,10052391,0.0,1.0
2017-11-17,179.3,179.98,178.9,179.0,178.464491953581,12722802,0.0,1.0
2017-11-16,178.76,179.83,178.5,179.59,179.052726871193,15230062,0.0,1.0
2017-11-15,176.66,178.57,176.4,177.95,177.417633201898,10131051,0.0,1.0
2017-11-14,178.13,178.97,177.18,178.07,177.53727420209,9465112,0.0,1.0
2017-11-13,177.5,179.04,177.3,178.77,178.235180036546,9431449,0.0,1.0
2017-11-10,178.35,179.0999,177.96,178.46,177.926107452715,10933405,0.0,1.0
2017-11-09,178.31,179.4,177.09,179.3,178.763594454062,12460345,0.0,1.0
2017-11-08,179.79,180.35,179.11,179.56,179.022816621145,10873359,0.0,1.0
2017-11-07,180.5,180.7478,178.96,180.25,179.710752372251,12679885,0.0,1.0
2017-11-06,178.56,180.45,178.31,180.17,179.630991705456,13065077,0.0,1.0
2017-11-03,179.29,179.86,176.71,178.92,178.384731286786,17572587,0.0,1.0
2017-11-02,180.63,181.94,177.34,178.92,178.384731286786,35119841,0.0,1.0
2017-11-01,182.36,182.9,180.57,182.66,182.113542459447,28922959,0.0,1.0
2017-10-31,180.57,180.8,178.94,180.06,179.521320788613,19766043,0.0,1.0
2017-10-30,179.26,180.69,177.61,179.87,179.331889204975,24179258,0.0,1.0
2017-10-27,174.15,178.21,173.9,177.88,177.347842618452,29867490,0.0,1.0
2017-10-26,171.38,172.285,170.39,170.63,170.119532190165,10932929,0.0,1.0
2017-10-25,171.9,172.25,168.89,170.6,170.089621940117,15095603,0.0,1.0
2017-10-24,172.3,173.24,171.5,171.8,171.28603194204,11629341,0.0,1.0
2017-10-23,175.2,175.34,171.25,171.27,170.757617524524,13622072,0.0,1.0
2017-10-20,175.5,175.88,174.63,174.98,174.456518447137,11861307,0.0,1.0
2017-10-19,174.93,176.03,172.63,174.56,174.037774946464,13602869,0.0,1.0
2017-10-18,176.65,176.74,175.75,176.03,175.50337719882,12655492,0.0,1.0
2017-10-17,174.71,176.13,174.36,176.11,175.583137865615,15381990,0.0,1.0
2017-10-16,174.49,175.0,174.06,174.52,173.997894613067,11225293,0.0,1.0
2017-10-13,173.45,174.65,173.2,173.74,173.220228111816,13305724,0.0,1.0
2017-10-12,172.61,173.85,172.29,172.55,172.033788193242,10312488,0.0,1.0
2017-10-11,171.95,172.78,171.4,172.74,172.22321977688,11023310,0.0,1.0
2017-10-10,173.0,173.2,170.8,171.59,171.076660191704,11231234,0.0,1.0
2017-10-09,172.7,174.88,172.0,172.5,171.983937776495,14472612,0.0,1.0
2017-10-06,170.25,172.37,169.75,172.23,171.714745526063,12670089,0.0,1.0
2017-10-05,169.18,171.31,168.6,171.24,170.727707274476,14013869,0.0,1.0
2017-10-04,169.83,170.67,168.29,168.42,167.916143769956,11829323,0.0,1.0
2017-10-03,169.3,170.73,169.2,169.96,169.451536605758,8054219,0.0,1.0
2017-10-02,171.39,171.87,168.75,169.47,168.963002521639,13104304,0.0,1.0
2017-09-29,168.83,171.66,168.81,170.87,170.358814190549,15114619,0.0,1.0
2017-09-28,167.94,169.0696,167.16,168.73,168.225216353786,12084865,0.0,1.0
2017-09-27,165.9,168.34,165.57,167.68,167.178357602103,18963276,0.0,1.0
2017-09-26,164.5,165.5,162.78,164.21,163.718738679874,22866403,0.0,1.0
2017-09-25,169.24,169.3,161.56,162.87,162.38274751106,40538994,0.0,1.0
2017-09-22,170.21,171.73,169.22,170.54,170.02980144002,11835708,0.0,1.0
2017-09-21,171.69,172.27,170.01,171.11,170.598096190934,11054545,0.0,1.0
2017-09-20,172.5,173.05,170.7,172.17,171.654925025967,11899057,0.0,1.0
2017-09-19,170.62,172.56,170.36,172.52,172.003877943194,12911661,0.0,1.0
2017-09-18,171.99,172.07,169.34,170.01,169.501387022504,12785437,0.0,1.0
2017-09-15,170.88,172.34,170.26,171.64,171.12651060845,15468473,0.0,1.0
2017-09-14,172.26,172.28,170.5,170.96,170.448544940694,15496424,0.0,1.0
2017-09-13,173.01,173.17,172.06,173.05,172.53229236071,8908633,0.0,1.0
2017-09-12,173.76,174.0,171.75,172.96,172.442561610566,11051768,0.0,1.0
2017-09-11,172.4,173.89,172.2,173.51,172.990916194781,12208441,0.0,1.0
2017-09-08,173.09,173.49,170.8,170.95,170.438574857344,10936358,0.0,1.0
2017-09-07,171.94,173.3067,170.27,173.21,172.6918136943,17922494,0.0,1.0
2017-09-06,170.91,172.48,169.57,172.09,171.575164359172,13659317,0.0,1.0
2017-09-05,171.27,172.39,169.55,170.72,170.209262940309,13175866,0.0,1.0
2017-09-01,172.4,172.92,171.31,172.02,171.505373775726,11677589,0.0,1.0
2017-08-31,170.4,172.15,170.06,171.97,171.455523358979,17226465,0.0,1.0
2017-08-30,168.17,170.18,167.63,169.92,169.41165627236,10850005,0.0,1.0
2017-08-29,165.25,168.425,165.0,168.05,167.547250686029,10992617,0.0,1.0
2017-08-28,166.91,167.7,166.33,167.24,166.739673934731,8360380,0.0,1.0
2017-08-25,167.86,168.38,166.18,166.32,165.82242626659,12391910,0.0,1.0
2017-08-24,168.88,169.29,166.41,167.74,167.238178102199,13552865,0.0,1.0
2017-08-23,168.84,169.36,168.2,168.71,168.205276187087,9756817,0.0,1.0
2017-08-22,168.28,169.87,167.15,169.64,169.132493938578,11333260,0.0,1.0
2017-08-21,167.16,168.0,165.82,167.78,167.278058435597,11880823,0.0,1.0
2017-08-18,166.84,168.67,166.21,167.41,166.90916535167,14933261,0.0,1.0
2017-08-17,169.34,169.86,166.85,166.91,166.410661184202,16791591,0.0,1.0
2017-08-16,171.25,171.38,169.24,170.0,169.491416939155,15580549,0.0,1.0
2017-08-15,171.49,171.5,170.01,171.0,170.488425274091,8621787,0.0,1.0
2017-08-14,170.09,171.08,169.29,170.75,170.239173190357,12786286,0.0,1.0
2017-08-11,167.95,168.82,166.85,168.08,167.577160936077,13664032,0.0,1.0
2017-08-10,170.06,170.59,166.85,167.4,166.899195268321,20353485,0.0,1.0
2017-08-09,169.98,171.45,169.56,171.18,170.66788677438,10597084,0.0,1.0
2017-08-08,171.88,173.05,170.62,171.23,170.717737191126,13813683,0.0,1.0
2017-08-07,169.95,172.06,169.66,171.98,171.465493442329,12504157,0.0,1.0
2017-08-04,168.97,170.06,168.69,169.62,169.112553771879,10360774,0.0,1.0
2017-08-03,169.3,169.7,168.25,168.59,168.085635186895,10316246,0.0,1.0
2017-08-02,170.3,170.55,166.91,169.3,168.7935111047,17061845,0.0,1.0
2017-08-01,169.82,170.47,169.05,169.86,169.351835772264,14051379,0.0,1.0
2017-07-31,172.0,172.72,168.55,169.25,168.743660687953,25157896,0.0,1.0
2017-07-28,169.07,173.43,169.05,172.45,171.934087359749,24036502,0.0,1.0
2017-07-27,174.7,175.49,167.5,170.44,169.930100606527,68065163,0.0,1.0
2017-07-26,166.01,166.01,164.1,165.61,165.114550348785,24081060,0.0,1.0
2017-07-25,165.01,165.54,163.8619,165.28,164.785537598256,15164613,0.0,1.0
2017-07-24,164.64,166.17,164.31,166.0,165.50338359941,16595460,0.0,1.0
2017-07-21,164.16,165.05,163.75,164.43,163.93808051356,14494667,0.0,1.0
2017-07-20,164.8,165.0,162.81,164.53,164.037781347054,18293111,0.0,1.0
2017-07-19,163.59,165.7,163.17,164.14,163.648948096429,25915988,0.0,1.0
2017-07-18,159.66,163.73,159.42,162.86,162.37277742771,23621711,0.0,1.0
2017-07-17,160.25,160.78,158.81,159.73,159.25214133936,12567935,0.0,1.0
2017-07-14,160.13,160.32,159.3254,159.97,159.491423339745,16172560,0.0,1.0
2017-07-13,158.74,159.78,158.4227,159.26,158.78354742194,13839891,0.0,1.0
2017-07-12,156.49,159.16,156.2,158.9,158.424624421363,22483868,0.0,1.0
2017-07-11,153.37,155.4225,152.91,155.27,154.805484165545,13208251,0.0,1.0
2017-07-10,151.69,153.98,151.51,153.5,153.040779412708,13296447,0.0,1.0
2017-07-07,149.25,151.99,149.19,151.44,150.986942242739,13229352,0.0,1.0
2017-07-06,149.03,150.04,148.0,148.82,148.374780405206,14788811,0.0,1.0
2017-07-05,149.0,150.85,148.13,150.34,149.890233074309,14037692,0.0,1.0
2017-07-03,151.72,152.15,147.8,148.43,147.985947154581,13860113,0.0,1.0
2017-06-30,151.9,151.92,150.06,150.98,150.528318408668,14540013,0.0,1.0
2017-06-29,152.28,152.5,148.9175,151.04,150.588138908764,23771610,0.0,1.0
2017-06-28,150.92,153.47,149.86,153.24,152.781557245624,16621566,0.0,1.0
2017-06-27,152.84,153.31,150.39,150.58,150.129515074694,19274022,0.0,1.0
2017-06-26,156.25,156.5,153.1954,153.59,153.130510162852,17934289,0.0,1.0
2017-06-23,152.72,155.2,152.65,155.07,154.606082498557,16192249,0.0,1.0
2017-06-22,153.01,154.55,152.91,153.4,152.941078579214,12783958,0.0,1.0
2017-06-21,152.36,154.08,151.88,153.91,153.449552830031,14760242,0.0,1.0
