,V_Open,V_High,V_Low,V_Close,V_Adj Close,V_Volume,V_Dividend Amount,V_Split Coefficient
2021-03-31,212.55,214.11,211.545,211.73,206.320717045297,13179961,0.0,1.0
2021-03-30,213.01,214.15,211.41,211.9,206.486373881351,5497997,0.0,1.0
2021-03-29,212.45,215.29,211.12,214.51,209.029693540768,7792260,0.0,1.0
2021-03-26,208.25,213.7,207.7,213.53,208.074730603515,7399940,0.0,1.0
2021-03-25,207.67,208.82,205.78,207.97,202.656777612575,8390834,0.0,1.0
2021-03-24,208.75,211.14,207.93,208.07,202.754222810254,10101640,0.0,1.0
2021-03-23,209.05,209.96,207.5,208.15,202.832178968397,8820746,0.0,1.0
2021-03-22,206.55,212.29,206.23,208.0,202.686011171878,11371584,0.0,1.0
2021-03-19,219.12,220.1689,206.88,206.9,201.614113997412,32209683,0.0,1.0
2021-03-18,221.43,222.52,219.58,220.66,215.022573198013,9323007,0.0,1.0
2021-03-17,225.05,226.24,221.76,223.02,217.322279863232,8675616,0.0,1.0
2021-03-16,223.71,225.58,222.295,224.7,218.959359184236,8949319,0.0,1.0
2021-03-15,224.23,227.085,221.7407,223.27,217.565892857429,9306996,0.0,1.0
2021-03-12,225.28,226.54,223.4201,224.36,218.628045512128,8172396,0.0,1.0
2021-03-11,224.53,228.2298,223.81,226.15,220.372314550578,10053421,0.0,1.0
2021-03-10,220.72,224.185,219.4,223.17,217.468447659751,7822898,0.0,1.0
2021-03-09,222.06,225.0,220.19,220.36,214.730237604977,9228559,0.0,1.0
2021-03-08,216.98,226.13,215.81,220.27,214.642536927066,14750387,0.0,1.0
2021-03-05,213.73,216.1,209.63,215.41,209.906700319877,7582002,0.0,1.0
2021-03-04,215.97,217.02,208.67,211.5,206.096593090636,10658902,0.0,1.0
2021-03-03,215.15,217.19,212.86,214.85,209.361007212875,6484597,0.0,1.0
2021-03-02,216.96,217.93,214.82,215.77,210.25750303152,6155184,0.0,1.0
2021-03-01,214.97,217.8,214.79,216.63,211.095531731558,6982504,0.0,1.0
2021-02-26,214.05,215.21,210.74,212.39,206.963855349977,11559597,0.0,1.0
2021-02-25,219.29,220.445,212.58,213.75,208.289110038409,11354745,0.0,1.0
2021-02-24,212.36,220.53,211.2888,219.43,213.823997266564,12038951,0.0,1.0
2021-02-23,207.4,213.91,206.55,212.11,206.691008796477,10571717,0.0,1.0
2021-02-22,203.55,210.65,203.11,208.32,202.997835804451,8296130,0.0,1.0
2021-02-19,209.34,209.53,203.76,204.73,199.499553207782,15011520,0.0,1.0
2021-02-18,205.88,209.7,204.96,209.35,204.001521340542,7329287,0.0,1.0
2021-02-17,205.26,208.28,205.0627,207.51,202.208529703252,8368000,0.0,1.0
2021-02-16,210.66,211.05,207.35,207.9,202.5885659742,9652749,0.0,1.0
2021-02-12,209.36,211.13,207.68,209.96,204.595937046383,6911014,0.0,1.0
2021-02-11,207.33,211.59,207.19,210.66,205.278053430134,8411071,0.32,1.0
2021-02-10,207.97,207.97,205.94,206.44,200.860751493587,8447167,0.0,1.0
2021-02-09,205.76,207.63,203.7,206.52,200.938589413173,7552200,0.0,1.0
2021-02-08,210.0,210.65,205.91,206.89,201.298589791262,8637076,0.0,1.0
2021-02-05,209.98,210.13,208.66,208.77,203.127780901551,10283953,0.0,1.0
2021-02-04,203.24,209.68,203.1,209.25,203.594808419071,14534751,0.0,1.0
2021-02-03,203.07,203.51,200.98,201.36,195.918043599829,13458644,0.0,1.0
2021-02-02,200.85,204.35,200.0,202.61,197.134261093371,11265567,0.0,1.0
2021-02-01,195.14,199.21,195.02,198.36,192.999121615326,12970674,0.0,1.0
2021-01-29,197.82,203.05,192.81,193.25,188.027224501723,21503035,0.0,1.0
2021-01-28,200.0,202.0,198.17,198.22,192.862905256049,11041253,0.0,1.0
2021-01-27,197.64,199.7,193.96,194.97,189.700739772838,13772435,0.0,1.0
2021-01-26,201.76,203.49,200.9701,202.01,196.550476696471,9605270,0.0,1.0
2021-01-25,200.34,201.64,195.75,200.98,195.548313481792,19282359,0.0,1.0
2021-01-22,203.99,205.33,201.8,202.02,196.560206436419,7316201,0.0,1.0
2021-01-21,206.05,207.1727,204.75,205.14,199.595885300302,6517948,0.0,1.0
2021-01-20,203.03,207.19,202.23,206.01,200.442372675808,12675730,0.0,1.0
2021-01-19,203.05,204.165,200.07,201.66,196.209935798279,9772034,0.0,1.0
2021-01-15,201.54,203.26,200.425,201.59,196.14182761864,8755049,0.0,1.0
2021-01-14,210.57,211.21,201.73,201.86,196.404530597246,12887478,0.0,1.0
2021-01-13,209.41,211.0,208.63,209.35,203.692105818554,6688464,0.0,1.0
2021-01-12,212.34,212.79,207.47,208.86,203.215348561086,9309354,0.0,1.0
2021-01-11,213.96,214.86,212.48,212.89,207.136433760268,7354527,0.0,1.0
2021-01-08,214.17,216.12,212.75,215.45,209.627247187043,6513279,0.0,1.0
2021-01-07,212.2,215.22,212.2,213.81,208.031569835515,10967869,0.0,1.0
2021-01-06,213.8,216.17,212.07,212.62,206.873730781662,7206248,0.0,1.0
2021-01-05,216.31,218.46,213.64,214.51,208.712651631899,6869718,0.0,1.0
2021-01-04,220.25,220.25,214.24,217.76,211.874817115111,10318329,0.0,1.0
2020-12-31,218.4,219.82,216.2,218.73,212.8186018901,5922170,0.0,1.0
2020-12-30,216.0,220.39,215.65,218.36,212.458601512011,8875066,0.0,1.0
2020-12-29,214.61,215.24,213.54,214.37,208.576435272622,6093412,0.0,1.0
2020-12-28,209.85,213.46,208.95,212.63,206.883460521611,5771628,0.0,1.0
2020-12-24,206.64,208.816,206.6,208.7,203.059672721912,3367895,0.0,1.0
2020-12-23,207.33,207.33,205.11,205.3,199.751561139476,6523085,0.0,1.0
2020-12-22,208.39,208.4,205.6,205.84,200.276967096686,7403829,0.0,1.0
2020-12-21,208.27,209.8,204.79,209.01,203.361294660311,7576684,0.0,1.0
2020-12-18,211.02,211.98,209.87,211.31,205.59913484843,13298241,0.0,1.0
2020-12-17,209.0,211.78,208.85,211.18,205.472648229101,6517228,0.0,1.0
2020-12-16,208.48,209.125,207.14,208.27,202.641293904133,7504356,0.0,1.0
2020-12-15,208.54,209.44,206.16,208.36,202.728861563668,9799032,0.0,1.0
2020-12-14,207.85,211.3,206.97,207.25,201.648860429402,11967704,0.0,1.0
2020-12-11,205.36,206.89,204.5,206.24,200.66615669462,9227638,0.0,1.0
2020-12-10,208.51,209.3,207.25,207.61,201.999131067543,10492035,0.0,1.0
2020-12-09,213.23,213.5,208.95,209.58,203.915889837366,6251066,0.0,1.0
2020-12-08,209.95,213.13,209.89,212.77,207.019676880888,8646231,0.0,1.0
2020-12-07,211.97,214.5,211.7981,212.65,206.902920001507,10624498,0.0,1.0
2020-12-04,209.74,212.72,208.51,212.68,206.932109221353,5720129,0.0,1.0
2020-12-03,209.78,211.113,207.61,208.05,202.42723962527,9203327,0.0,1.0
2020-12-02,211.0,211.4,208.48,210.18,204.499674234267,9728898,0.0,1.0
2020-12-01,212.13,213.67,211.04,211.2,205.492107708998,7943304,0.0,1.0
2020-11-30,209.54,210.54,206.6,210.35,204.665079813389,7725515,0.0,1.0
2020-11-27,212.0,212.03,208.81,211.0,205.297512910031,3512893,0.0,1.0
2020-11-25,209.67,211.95,208.87,210.89,205.190485770599,6772894,0.0,1.0
2020-11-24,210.85,213.82,209.4,209.68,204.01318723685,10076115,0.0,1.0
2020-11-23,204.7,209.0,204.7,208.16,202.534266764702,6107265,0.0,1.0
2020-11-20,207.13,208.11,203.805,203.88,198.369938066811,9654712,0.0,1.0
2020-11-19,207.24,208.73,205.53,207.57,201.960212107749,5657248,0.0,1.0
2020-11-18,209.72,211.15,207.67,207.83,202.213185346406,6977923,0.0,1.0
2020-11-17,210.56,212.09,209.5,210.71,205.015350451529,7268825,0.0,1.0
2020-11-16,214.57,215.09,211.83,212.7,206.951568701249,12083214,0.0,1.0
2020-11-13,209.91,211.28,207.3,210.48,204.791566432717,6378517,0.0,1.0
2020-11-12,211.43,212.54,207.14,208.26,202.631564164185,7303816,0.32,1.0
2020-11-11,212.17,214.28,211.67,212.7,206.634067013722,5331383,0.0,1.0
2020-11-10,211.94,214.06,210.545,213.31,207.226670590959,7943557,0.0,1.0
2020-11-09,214.69,217.65,212.28,212.68,206.614637388239,17916898,0.0,1.0
2020-11-06,197.35,199.68,195.4265,198.47,192.809888482433,6180509,0.0,1.0
2020-11-05,198.36,200.99,197.29,197.64,192.00355902488,7132143,0.0,1.0
2020-11-04,192.89,196.88,191.53,193.97,188.438222748715,8102656,0.0,1.0
2020-11-03,186.83,189.53,185.16,188.34,182.968783175197,6467857,0.0,1.0
2020-11-02,184.51,186.92,183.89,184.74,179.471450588223,8057085,0.0,1.0
2020-10-30,182.66,184.22,179.23,181.71,176.52786232752,10256303,0.0,1.0
