,OGS_Open,OGS_High,OGS_Low,OGS_Close,OGS_Adj Close,OGS_Volume,OGS_Dividend Amount,OGS_Split Coefficient
2019-08-13,88.5,89.49,88.12,89.43,76.0964873025862,149362,0.0,1.0
2019-08-12,89.4,89.61,88.45,88.67,75.4497990508813,83100,0.0,1.0
2019-08-09,90.1,90.21,89.34,89.47,76.1305235263601,177767,0.5,1.0
2019-08-08,89.11,90.75,88.37,90.66,76.7143854940514,260056,0.0,1.0
2019-08-07,88.5,89.24,87.34,88.95,75.2674232262947,162733,0.0,1.0
2019-08-06,88.2,88.73,86.81,88.5,74.8866436821482,231227,0.0,1.0
2019-08-05,90.62,90.62,87.26,88.18,74.6158671174217,229491,0.0,1.0
2019-08-02,90.94,91.9,90.48,90.97,76.9767002911301,148309,0.0,1.0
2019-08-01,91.3,91.97,90.96,91.22,77.1882444823226,274488,0.0,1.0
2019-07-31,91.78,93.04,90.72,91.18,77.1543974117319,369843,0.0,1.0
2019-07-30,91.98,92.17,90.82,91.7,77.5944093294123,387383,0.0,1.0
2019-07-29,91.1,91.97,90.75,91.4,77.3405562999813,219483,0.0,1.0
2019-07-26,89.78,91.06,89.72,90.82,76.8497737764146,279171,0.0,1.0
2019-07-25,90.52,91.44,89.46,89.78,75.9697499410538,276666,0.0,1.0
2019-07-24,90.48,90.92,89.73,90.76,76.7990031705284,235472,0.0,1.0
2019-07-23,90.67,90.67,89.78,90.52,76.5959207469836,103700,0.0,1.0
2019-07-22,90.99,91.24,89.97,90.38,76.4774559999158,149148,0.0,1.0
2019-07-19,91.55,92.08,90.58,90.61,76.6720766558129,158780,0.0,1.0
2019-07-18,91.12,91.94,90.47,91.87,77.7382593794232,120308,0.0,1.0
2019-07-17,90.95,91.54,90.86,91.26,77.2220915529135,124151,0.0,1.0
2019-07-16,90.65,91.07,90.38,90.86,76.8836208470054,151730,0.0,1.0
2019-07-15,91.37,91.65,90.65,90.97,76.9767002911301,125470,0.0,1.0
2019-07-12,91.43,91.43,90.52,91.24,77.205168017618,113347,0.0,1.0
2019-07-11,91.47,91.83,90.6,91.35,77.2982474617427,113518,0.0,1.0
2019-07-10,92.0,92.05,91.45,91.55,77.4674828146968,103457,0.0,1.0
2019-07-09,91.5,91.81,90.75,91.7,77.5944093294123,113135,0.0,1.0
2019-07-08,91.44,91.7,91.08,91.62,77.5267151882307,130455,0.0,1.0
2019-07-05,91.39,91.6,90.35,91.39,77.3320945323336,130716,0.0,1.0
2019-07-03,91.4,92.34,91.09,91.97,77.8228770559002,64426,0.0,1.0
2019-07-02,90.51,91.41,90.51,91.04,77.035932664664,192002,0.0,1.0
2019-07-01,90.35,90.7,89.49,90.34,76.443608929325,158264,0.0,1.0
2019-06-28,89.62,90.76,89.62,90.3,76.4097618587342,402824,0.0,1.0
2019-06-27,89.23,89.78,89.04,89.72,75.9189793351676,168639,0.0,1.0
2019-06-26,91.91,92.04,88.99,89.07,75.3689644380671,210456,0.0,1.0
2019-06-25,91.54,92.58,91.54,92.01,77.856724126491,215170,0.0,1.0
2019-06-24,92.66,92.66,91.45,91.45,77.3828651382198,182595,0.0,1.0
2019-06-21,91.16,92.5,91.01,92.48,78.2544272059329,427499,0.0,1.0
2019-06-20,91.41,92.22,90.71,91.92,77.7805682176617,151743,0.0,1.0
2019-06-19,90.59,91.61,90.23,91.24,77.205168017618,158072,0.0,1.0
2019-06-18,91.33,91.45,90.19,90.78,76.8159267058238,136243,0.0,1.0
2019-06-17,90.84,91.25,89.82,91.01,77.010547361721,177053,0.0,1.0
2019-06-14,90.59,91.55,90.58,90.91,76.9259296852439,83860,0.0,1.0
2019-06-13,90.57,91.16,90.47,90.79,76.8243884734715,168329,0.0,1.0
2019-06-12,89.02,90.7,89.02,90.55,76.6213060499267,134466,0.0,1.0
2019-06-11,89.31,89.75,88.33,88.89,75.2166526204085,200843,0.0,1.0
2019-06-10,90.39,90.39,88.8,89.22,75.4958909527826,282670,0.0,1.0
2019-06-07,90.18,91.18,90.15,90.58,76.6466913528698,280149,0.0,1.0
2019-06-06,90.0,90.39,89.23,89.75,75.9443646381107,144907,0.0,1.0
2019-06-05,88.1,89.96,88.05,89.73,75.9274411028153,162795,0.0,1.0
2019-06-04,88.37,89.08,86.71,88.14,74.5820200468309,125780,0.0,1.0
2019-06-03,87.5,88.65,87.05,88.48,74.8697201468528,188738,0.0,1.0
2019-05-31,86.17,87.62,85.72,87.56,74.0912375232643,224090,0.0,1.0
2019-05-30,86.22,86.67,85.97,86.31,73.0335165673018,176904,0.0,1.0
2019-05-29,87.94,88.07,86.0,86.29,73.0165930320064,145183,0.0,1.0
2019-05-28,89.23,89.27,88.08,88.13,74.5735582791832,171781,0.0,1.0
2019-05-24,88.82,89.5,88.78,89.14,75.428196811601,140974,0.0,1.0
2019-05-23,88.37,88.83,87.88,88.81,75.1489584792269,121284,0.0,1.0
2019-05-22,88.48,88.89,88.37,88.59,74.9627995909775,119357,0.0,1.0
2019-05-21,88.8,89.31,88.17,88.41,74.8104877733189,94868,0.0,1.0
2019-05-20,89.05,89.65,88.56,88.9,75.2251143880562,134420,0.0,1.0
2019-05-17,88.59,89.61,88.41,89.0,75.3097320645332,202850,0.0,1.0
2019-05-16,87.34,88.85,87.34,88.79,75.1320349439315,176664,0.0,1.0
2019-05-15,87.25,87.81,87.04,87.51,74.0489286850258,115840,0.0,1.0
2019-05-14,87.89,88.17,87.03,87.31,73.8796933320718,255283,0.5,1.0
2019-05-13,86.93,88.55,86.93,88.46,74.4265763825882,219755,0.0,1.0
2019-05-10,85.92,87.6,85.8,87.58,73.6861808680429,113101,0.0,1.0
2019-05-09,86.12,86.67,85.7,85.97,72.3315936198407,139699,0.0,1.0
2019-05-08,87.28,87.42,86.11,86.17,72.4998653276919,140964,0.0,1.0
2019-05-07,88.37,89.04,86.81,87.21,73.3748782085182,225641,0.0,1.0
2019-05-06,88.47,89.04,88.27,88.48,74.4434035533734,165985,0.0,1.0
2019-05-03,87.47,88.9,87.47,88.65,74.5864345050469,157152,0.0,1.0
2019-05-02,87.32,88.0,86.93,87.36,73.5010819894066,155081,0.0,1.0
2019-05-01,88.35,88.66,87.08,87.57,73.6777672826504,216555,0.0,1.0
2019-04-30,88.46,88.66,86.78,88.52,74.4770578949436,348343,0.0,1.0
2019-04-29,87.64,87.93,87.06,87.63,73.7282487950057,97423,0.0,1.0
2019-04-26,88.21,88.475,87.78,87.95,73.9974835275677,138017,0.0,1.0
2019-04-25,86.93,87.99,86.48,87.68,73.7703167219685,146433,0.0,1.0
2019-04-24,86.6,87.79,86.6,87.34,73.4842548186215,133059,0.0,1.0
2019-04-23,86.39,86.84,86.22,86.57,72.8364087433943,181675,0.0,1.0
2019-04-22,86.26,86.38,85.45,86.1,72.440970229944,161295,0.0,1.0
2019-04-18,86.73,87.24,86.26,86.44,72.727032133291,160285,0.0,1.0
2019-04-17,86.98,86.98,86.2,86.23,72.5503468400473,215973,0.0,1.0
2019-04-16,87.92,88.34,86.88,86.9,73.1140570613488,139836,0.0,1.0
2019-04-15,88.23,88.6,87.67,87.92,73.97224277139,130449,0.0,1.0
2019-04-12,87.47,88.13,87.06,87.91,73.9638291859974,139668,0.0,1.0
2019-04-11,86.98,87.7,86.9,87.6,73.703008038828,137122,0.0,1.0
2019-04-10,87.11,88.03,86.89,86.98,73.1813657444893,158841,0.0,1.0
2019-04-09,87.57,87.99,86.64,86.77,73.0046804512455,132463,0.0,1.0
2019-04-08,87.7,87.81,87.23,87.51,73.627285770295,112173,0.0,1.0
2019-04-05,87.37,88.17,86.97,88.14,74.1573416500263,230806,0.0,1.0
2019-04-04,87.99,88.37,86.7,87.39,73.5263227455843,244768,0.0,1.0
2019-04-03,86.99,87.71,86.41,87.56,73.6693536972578,209947,0.0,1.0
2019-04-02,88.14,88.53,86.7,86.98,73.1813657444893,244314,0.0,1.0
2019-04-01,88.77,88.97,87.42,88.13,74.1489280646337,296229,0.0,1.0
2019-03-29,89.21,89.47,88.61,89.03,74.9061507499642,222975,0.0,1.0
2019-03-28,89.69,90.01,88.51,89.09,74.9566322623195,172333,0.0,1.0
2019-03-27,90.08,90.39,89.27,89.53,75.3268300195922,163159,0.0,1.0
2019-03-26,90.07,90.52,89.49,90.15,75.8484723139309,248702,0.0,1.0
2019-03-25,89.46,90.22,88.63,89.95,75.6802006060797,166003,0.0,1.0
2019-03-22,89.46,90.25,89.21,89.24,75.0828360432079,236203,0.0,1.0
2019-03-21,88.23,89.93,88.1,89.45,75.2595213364517,170010,0.0,1.0
