,QLYS_Open,QLYS_High,QLYS_Low,QLYS_Close,QLYS_Adj Close,QLYS_Volume,QLYS_Dividend Amount,QLYS_Split Coefficient
2018-03-15,77.5,77.6627,76.0,76.3,76.3,359771,0.0,1.0
2018-03-14,77.35,78.0,76.8501,77.1,77.1,419788,0.0,1.0
2018-03-13,78.4,78.83,76.95,77.25,77.25,255904,0.0,1.0
2018-03-12,78.85,78.9,78.0,78.3,78.3,322310,0.0,1.0
2018-03-09,78.35,79.4,77.85,78.45,78.45,460160,0.0,1.0
2018-03-08,78.05,78.4,77.0,77.7,77.7,217114,0.0,1.0
2018-03-07,76.8,78.05,76.775,77.6,77.6,298325,0.0,1.0
2018-03-06,78.1,78.7,76.9,77.35,77.35,317897,0.0,1.0
2018-03-05,77.35,78.5,77.05,77.6,77.6,298623,0.0,1.0
2018-03-02,74.2,77.8,73.75,77.5,77.5,288838,0.0,1.0
2018-03-01,74.4,75.85,72.8,74.8,74.8,377220,0.0,1.0
2018-02-28,76.35,76.85,74.05,74.05,74.05,394203,0.0,1.0
2018-02-27,76.8,77.1,76.1,76.35,76.35,361105,0.0,1.0
2018-02-26,75.2,76.95,75.05,76.25,76.25,326368,0.0,1.0
2018-02-23,73.5,75.5,73.45,75.2,75.2,313583,0.0,1.0
2018-02-22,72.7,73.3,71.85,73.15,73.15,233106,0.0,1.0
2018-02-21,72.2,73.8,72.1,72.15,72.15,221920,0.0,1.0
2018-02-20,71.35,73.4,71.35,72.25,72.25,321863,0.0,1.0
2018-02-16,71.2,72.95,70.7,72.25,72.25,485873,0.0,1.0
2018-02-15,68.5,72.099,68.0501,71.2,71.2,440192,0.0,1.0
2018-02-14,66.6,68.1,66.1,67.95,67.95,502397,0.0,1.0
2018-02-13,65.0,67.95,61.7,67.3,67.3,890675,0.0,1.0
2018-02-12,60.05,63.4,59.75,62.6,62.6,777525,0.0,1.0
2018-02-09,58.95,60.4,57.2,59.9,59.9,405015,0.0,1.0
2018-02-08,60.25,60.25,58.25,58.3,58.3,189533,0.0,1.0
2018-02-07,59.85,60.55,59.4,59.95,59.95,176563,0.0,1.0
2018-02-06,59.25,60.4,57.5001,60.2,60.2,263820,0.0,1.0
2018-02-05,61.6,62.45,59.9,59.95,59.95,179392,0.0,1.0
2018-02-02,62.8,62.95,61.85,62.15,62.15,109149,0.0,1.0
2018-02-01,62.3,63.1,62.25,63.0,63.0,162778,0.0,1.0
2018-01-31,63.25,63.6,62.405,62.5,62.5,180707,0.0,1.0
2018-01-30,63.0,63.8,62.65,62.8,62.8,141325,0.0,1.0
2018-01-29,64.2,64.35,63.35,63.7,63.7,162646,0.0,1.0
2018-01-26,64.05,65.05,64.05,64.3,64.3,199340,0.0,1.0
2018-01-25,63.75,64.0,63.2,63.7,63.7,162894,0.0,1.0
2018-01-24,64.45,64.45,62.95,63.35,63.35,190714,0.0,1.0
2018-01-23,64.75,65.1,64.3,64.45,64.45,241247,0.0,1.0
2018-01-22,64.4,64.85,63.75,64.8,64.8,114315,0.0,1.0
2018-01-19,64.15,64.65,64.15,64.35,64.35,126214,0.0,1.0
